Project title,Principal investigator(s),Co-investigator(s),Keywords,CIHR contribution,ApplID,Abstract/Summary
How the built environment and population deprivation influence the reach of community-based activities emerging following a multimedia communication campaign: Results from Operation Wixx,"['Cutumisu, Nicoleta']",['N/A'],['Ics Travel Awards'],2500.0,315528,ICS Travel Awards
"Prevalence, perceptions, and chemical constituents of electronic cigarettes in Canada: Evidence to inform policy","['Czoli, Christine D']",['N/A'],"['Chemical Constituents', 'Consumer Perceptions', 'Electronic Cigarettes', 'Patterns Of Use', 'Policy', 'Prevalence']",105000.0,307724,"Tobacco use is the leading preventable cause of death in the world and continues to undermine the health of the Canadian population. In Canada, cigarettes account for the vast majority of tobacco use. However, as regulations on cigarettes have increased, a new generation of products has emerged in the form electronic or e-cigarettes. E-cigarettes are novel products that deliver nicotine in vapour without the harmful chemicals found in tobacco smoke. Although e-cigarettes have been shown to help some smokers quit, there are concerns that they may be misused by smokers and may appeal to and encourage smoking uptake among non-smokers. Despite a ban on the sale of e-cigarettes containing nicotine in Canada, the prominence and sales of these products in mainstream retail outlets have increased. To date, there is virtually no research on the use of e-cigarettes in Canada. The current study consists of three sub-studies: Study 1 is a population-based survey that will examine prevalence and perceptions of e-cigarettes among youth and young adults; Study 2 consists of a marketing discrete choice experiment that will examine the influence of e-cigarette product characteristics on perceptions and interest in trying e-cigarettes; and Study 3 will test the chemicals constituents released by e-cigarettes. The study findings will help address critical evidence gaps and have the potential to inform policy regarding e-cigarettes, which is currently being developed in response to increasing concern over these products in Canada, the United States, and the European Union."
"Prevalence, perceptions, and chemical constituents of electronic cigarettes in Canada: Evidence to inform policy","['Czoli, Christine D']",['N/A'],"['Chemical Constituents', 'Consumer Perceptions', 'Electronic Cigarettes', 'Patterns Of Use', 'Policy', 'Prevalence']",150000.0,298890,"Tobacco use is the leading preventable cause of death in the world and continues to undermine the health of the Canadian population. In Canada, cigarettes account for the vast majority of tobacco use. However, as regulations on cigarettes have increased, a new generation of products has emerged in the form electronic or ""e-cigarettes"". E-cigarettes are novel products that deliver nicotine in vapour without the harmful chemicals found in tobacco smoke. Although e-cigarettes have been shown to help some smokers quit, there are concerns that they may be misused by smokers and may appeal to and encourage smoking uptake among non-smokers. Despite a ban on the sale of e-cigarettes containing nicotine in Canada, the prominence and sales of these products in mainstream retail outlets have increased. To date, there is virtually no research on the use of e-cigarettes in Canada. The current study consists of three sub-studies: Study 1 is a population-based survey that will examine prevalence and perceptions of e-cigarettes among youth and young adults; Study 2 consists of a marketing discrete choice experiment that will examine the influence of e-cigarette product characteristics on perceptions and interest in trying e-cigarettes; and Study 3 will test the chemicals constituents released by e-cigarettes. The study findings will help address critical evidence gaps and have the potential to inform policy regarding e-cigarettes, which is currently being developed in response to increasing concern over these products in Canada, the United States, and the European Union."
Obesity prevention in Canada: Fiscal policy interventions to reduce consumption of sugary drinks,"['Czoli, Christine D']",['N/A'],"['Obesity Prevention', 'Policy', 'Sugary Drinks']",35583.0,368876,"Consumption of sugary drinks is an important target for obesity prevention. Presently, several jurisdictions have introduced a tax on sugary drinks as a way to decrease consumption and risk for obesity. Although research indicates that a federal tax on sugary drinks could have significant health benefits for Canadians, several critical evidence and policy questions remain unaddressed. The proposed research program will examine policy interventions aimed at reducing consumption of sugary drinks in Canada. Study 1 will examine the health impacts of fruit juice to address whether its consumption differs from consumption of sugar-sweetened beverages, such as regular carbonated soft drinks. Study 2 will examine potential ways a federal tax on sugary drinks could be implemented in Canada by analysis of current tax models for other substances, such as tobacco. Study 3 will examine the impact sugary drinks taxes may have on low-income individuals, given their high rates of consumption. Study 4 will identify other tax policies that may reduce consumption of sugary drinks in Canada. Study 5 will examine the marketing of sugary drinks to Canadian children and youth. Methods include scoping reviews of the scientific literature (Studies 1 and 3), and policy scans (Studies 2 and 4). Research findings will help address critical evidence gaps and inform advocacy efforts of the Heart & Stroke Foundation with respect to obesity prevention."
"Assertive HIV Treatment and Care among Women living with HIV: Support, Privacy and Self-Determination","['Czyzewski, Karina']",['N/A'],"['Assertive/Outreach Health Services', 'Hiv/Aids Research', 'Intersectionality', 'Qualitative Methodology', 'Self-Determination', 'Sexual & Reproductive Health', 'Social Work', ""Women'S Health""]",2500.0,347100,"Women Living with HIV (WLWH) in Canada are more likely than men to have experienced delays in accessing HIV treatment, have lower rates of adherence to HIV treatment and were found to have worse treatment outcomes compared to men. One way to increase engagement in HIV treatment and care is through the implementation of assertive clinical outreach services, including social workers. This study takes a critical look at assertive treatment and HIV prevention practices among WLWH.
We conducted 53 qualitative in-depth interviews with WLWH in Metro Vancouver between August and December 2015. The interviews were conducted using a semi-structured interview guide co-created with WLWH and community organizations. For many participants assertive treatment was instrumental to link them to care, support adherence to treatment, access to social services and respite from social isolation. However, women also expressed an unease with assertive treatment. Our research shows a more nuanced consideration of assertive treatment and the impacts on women's HIV outcomes, privacy, and self-determination is needed."
Joint associations of volume and type of sedentary behaviour and physical activity with the mental health of adolescents from Northeastern Ontario: A longitudinal study,"['da Costa, Bruno G']",['N/A'],"['Accelerometer', 'Adolescents', 'Longitudinal', 'Mental Health', 'Motivation', 'Physical Activity', 'Qualitative', 'Sedentary Behaviour', 'Social Media', 'Sports']",90000.0,454962,"Adolescents engage in different physical activities (PA) and sedentary behaviours (SB) for series of reasons, such as playing video games for fun, playing soccer to socialize, or studying to achieve good grades. Engagement in PA has been typically associated with health benefits and excessive SB with illness, with Canadian guidelines recommending that youth should engage in at least 60min  of moderate-vigorous PA per day while limiting sedentary screen time to less than 2h per day for maintaining good health. Emerging evidence has shown, however, that not every type of PA and SB are equal, and the motivation for adolescents to opt for each of these behaviours also impacts their health. It is possible, for example, that watching hockey games may stimulate subsequent PA (e.g., motivation to play road hockey with friends), while playing online video games may displace PA instead. The interplay between these behaviours and motivations also impacts adolescents' mental health, but these relations have been seldom studied, and it is unclear how they occur among adolescents. The present project aims to investigate the interplay of motivation, engagement in different types of PA and SB, and mental health in two studies. The first study will explore adolescents' motives for engaging in diverse SB and PA, and the psychosocial outcomes associated with engagement in those activities through focus groups. The second study will use a longitudinal design to track adolescents' engagement in various types of PA and SB and their mental health four times over a one-year period. For each activity type, participants will be asked for descriptive details (e.g., type of team sports, which video games titles they have played). Additionally, results from study 1 will be use to identify important motivational and mental health indicators that will be measured on study 2. These studies will allow us to investigate how motivation, behaviours, and mental health are connected among adolescents."
Mental Health in Individuals with Autoimmune Rheumatic Diseases During the Transition to Parenthood: A Mixed Methods Study to Identify Associated Factors and Support Needs,"['Da Costa, Deborah M']","['De Vera, Mary A', 'deMontigny, Francine', 'Fortin, Paul R', 'Rahme, Elham', 'Vinet, Evelyne']","['Autoimmune Rheumatic Diseases', 'Gender Roles', 'Mental Health', 'Mixed-Methods', 'Parenthood', 'Support Preferences']",198900.0,470314,"Individuals affected by autoimmune rheumatic diseases (ARDs), such as inflammatory arthritis and lupus encounter many challenges that can impact their mental health and functioning in their various roles. Becoming a parent is a major life transition that brings additional challenges.  Mental health problems affect up to 20% of persons during the early parenting years  and can negatively affect parenting, the family, and child development. Growing evidence from general population suggests that persons with ARDs are at increased risk for mental illnesses, including depression and anxiety. While there have been important advances in identifying a range of factors related to mental health problems during this life stage, these studies have mostly been done in samples without long-term medical conditions. Disease-specific physical (i.e. pain, fatigue) and psychosocial factors (illness uncertainty,  disease-management stress) may be worsened for individuals living with ARDs when they become parents. To date there is limited knowledge on the factors related to mental health problems during the transition to parenthood for person's living with ARDs.  To address this important gap the proposed study will evaluate mental health during the transition to parenthood and identify related factors specific to persons living ARDs. Participants will complete an on-line survey assessing  a number of variables and a subgroup of participants will be interviewed to obtain a more nuanced understanding of the  barriers and facilitators to mental health for persons with ARDs during the transition to parenthood.  The proposed study will advance the limited knowledge on the mental health of mothers and fathers during the transition to parenthood. The findings will inform tailored  mental health resources and intervention approaches to better support the needs of persons living with ARDs during this critical life stage."
Evaluating Acceptability and Feasibility of an Enhanced Digital Intervention for Preventing Postpartum Mental Health Difficulties in Fathers,"['Da Costa, Deborah M']","['deMontigny, Francine', 'Grover, Steven A', 'Letourneau, Nicole L', 'Lowensteyn, Ilka', 'Mccusker, Jane', 'Rahme, Elham']","['Digital Interventions', 'Fathers', 'Mental Health']",218025.0,470212,"Approximately one in 10 fathers experience mental health difficulties during their partner's pregnancy and/or the postpartum period. Fathers' mental health difficulties negatively impacts parenting, family functioning and child development. A recent call for action recommends routine screening of fathers in the postpartum for depression and the importance of providing timely interventions. Yet interventions tailored to men during this life stage to reduce their risk of mental health problems are lacking. Interventions delivered over the internet have been shown to be a far-reaching, acceptable and effective method of preventing and treating psychological problems, but low usage by users is a concern. We have developed HealthyDads, a prototype bilingual website with accurate information on topics related to mental health, parenting and health behaviours, along with strategies to improve each. Findings from our pilot study generated new ideas for intervention features to increase engagement with the intervention. Increasing engagement with on-line interventions is critical to improving their impact. The main objective of this proposal is to evaluate the acceptability of an engagement enhanced internet intervention targeting the mental health expectant fathers and the feasibility of a refined evaluation protocol to increase retention at follow-ups prior to conducting a large-scale trial. This study will provide new knowledge on the success of specific features designed to improve  engagement with an on-line mental health intervention targeting men during the transition to parenthood. Ultimately, if found effective, this mental health program delivered over the internet will help to overcome the lack of father focused interventions targeting the mental health of new fathers."
Foodservice manager perspectives on the feasibility of sustainable menu practices in Quebec healthcare institutions,"['Dagenais, Béatrice']",['N/A'],['Ics Travel Awards'],1000.0,400547,"Food sustainability is a concept that is emerging in many countries around the world, including Canada. Sustainable food explores many dimensions related to food, namely its nutritional value, its quality, its social value, its environmental impact, and its economic and governing influences. The goal of food sustainability is to achieve better human and environmental health through these dimensions. Foodservices in institutions may take actions, termed sustainable menu practices (SMPs), to align themselves with these dimensions. The purpose of this research is to describe if including SMPs in healthcare institutions menus is acceptable and/or suitable, in the province of Quebec, Canada. In partnership with Nourish, a national initiative on the future of food in healthcare, this study is conducted out to allow the development of a practical tool for foodservice managers, helping them achieve SMPs in their menus. To carry out the research, 17 foodservice managers participated in the study, where they were interviewed about their perceptions on sustainable food in their foodservice. Results show many barriers and facilitators in including SMPs in foodservice menus, as well as different motivations set by managers. Knowing this information can help better adapt a tool meant to help foodservice managers, based on what they find most difficult to overcome when including SMPs. This knowledge can then guide Canadian institutions in adopting SMPs, providing all the health benefits of sustainability at the human and at the environmental levels."
Using Administrative Data to Evaluate a Population-Based Parenting Intervention,"['Dahinten, Susan V', 'Kohen, Dafna E']",['N/A'],"['Administrative Data', 'Child Abuse', 'Child Behaviour Problems', 'Child Education', 'Child Maltreatment', 'Mental Health', 'Parenting Program', 'Population Health', 'Population Intervention', 'School Readiness']",,204795,"Although there is overwhelming evidence that parenting has a pervasive influence on the mental and physical health, and social and emotional well-being of children, parents receive little preparation for the parental role. Triple P is a parenting intervention that was recently implemented across Vancouver Island. Two unique features of Triple P are that, rather than being a single program, it is a multi-level system of parenting support that offers service at varying degree of intensity, and it is designed to be offered on a population-wide basis. Thus, the purpose of the proposed study is to evaluate Triple P using archived, population-based, administrative data sources. Two research questions will be addressed: (1) Is implementation of the multi-level and population-based Triple P Parenting Program associated with benefits to children and parents? (2) What program features and community characteristics are associated with benefits of a universal parenting program for children and parents? The research questions will be examined using administrative data sources. Community-based outcomes measures will include: (a) school readiness, kindergarten teacher assessments; (b) educational outcomes measuring numeracy, reading, and writing skills (grades 4 and 7); (c) child behaviour problems; (d) child/parent mental health conditions; and (e) rates of child abuse and neglect, foster home placements. Overall, this project provides a unique opportunity to demonstrate the benefits of using population-based data to examine policy relevant issues related to child healthy development with no additional burden on participants, organizations, or service providers. It will provide valuable public health information about the efficacy of a universal parenting intervention program."
