Project title,Principal investigator(s),Co-investigator(s),Keywords,CIHR contribution,ApplID,Abstract/Summary
The Strongest Families™ Parenting Program:  A randomized-controlled trial of a culturally appropriate parenting program for northwestern Ontario First Nations communities,"['Toombs, Elaine C']",['N/A'],"['Child Mental Health', 'First Nations Health', 'Indigenous Health Research', 'Parent Intervention', 'Parenting', 'Randomized Controlled Trial']",105000.0,383406,"The Truth and Reconciliation Report (2015) has documented the need for culturally relevant parenting programs within First Nations communities. First Nations families have requested parenting supports that meet their unique challenges, often within remote and rural communities. Strongest Families™ is a twelve week web-based parenting intervention that is administered with telephone support by a paraprofessional coach. This program has been modified by a First Nations research advisory group to better meet the needs of First Nations families. To determine if this program is an effective solution for First Nations communities, we will assess both how feasible and useful it is for families, by interviewing the first 15 families that complete the intervention and asking about their experiences with the program.  We will also evaluate how effective the intervention is by randomly assigning 185 participants to either complete the intervention or to have access to other parenting resources.  By comparing the outcomes of those that complete and do not complete the intervention, we hope to evaluate how effective the program is at reducing child behavioural concerns and parent distress.  Results of this study will be used to promote the continuation of Strongest Families, and to improve parent and child mental health outcomes using a First Nations model of parenting."
"Nehiyaw pimatisowin:  ""Living the Cree Way""","['Tootoosis, Roxanne']",['N/A'],"['Aboriginal', 'Perinatal Loss', 'Qualitative', 'Women']",2800.0,346194,"Ceremony is foundational in who we are as ""nehiyawak"" - Cree people. Ceremony is key in helping heal patients and families from their loss of a baby.  I will share tools that will help to further shape the creation of unique bereavement program serving Aboriginal women in an urban inner city hospital.  Aboriginal in this context includes First Nations, Metis and Inuit people of Canada."
Screening for traumatic brain injury and cognitive impairments amongst homeless and at-risk youth,"['Topolovec-Vranic, Jane']",['N/A'],['Ics Travel Award'],2500.0,294310,ICS Travel Awards
Antimicrobial Resistance Manure Intervention Strategies,"['Topp, Edward', 'Boerlin, Patrick']",['N/A'],['Mitigation Of Amr'],597599.0,367925,"Livestock animals consume the majority of antibiotics globally. These antibiotics and their active degradation products together with antibiotic resistant bacteria are partially excreted into the environment via manure. Manure is one of the major sources of bacteria resistant to antibiotics in the environment, and, as exemplified by methicillin-resistant Staphylococcus aureus (MRSA), it may significantly contribute to their spread in food, water and air, with subsequent exposure of humans. To date, no study has investigated the reduction of antimicrobial resistance (antibiotics, bacteria and genes) by different manure treatments, such as anaerobic digestion and aerobic composting.
In this study, we will measure the effectiveness of different manure treatment procedures on antimicrobial resistance reduction throughout the manure processing chain and assess relevant parameters in this reduction. We will focus on major bacteria, including extended-spectrum beta-lactamase (ESBL)-producing Enterobacteriaceae, vancomycin-resistant Enterococci (VRE), MRSA, and the corresponding antibiotic resistance genes and residues in large-scale (centralised) treatment as well as small-scale (farm) systems, in different national contexts and varying resistance prevalence. Culture-dependent and culture-independent methods and metagenomic studies will be used to evaluate the abundance of selected antibiotic-resistant bacteria and their concomitant resistance genes (and mobility) at different steps of the manure treatment process. Risk assessment studies will be conducted and outcomes will be communicated to improve risk awareness, to guide intervention prioritization and to improve understanding of exposure risks. Knowledge on the effects of manure processing on antibiotic resistance transmission may contribute to a reduction of the impact of the livestock industry on antibiotic resistance."
Intervention of antimicrobial resistance transfer into the food chain,"['Topp, Edward']",['N/A'],['Mitigation Of Amr In Animal Manures'],232972.0,367926,"Soil and water have been identified as reservoirs of antimicrobial resistance (AMR) and the food chain as the most likely mode of AMR transfer into human and animal pathogens. Manure is reused as soil fertiliser in which food plants grow and is a source of AMR. We hypothesise that pre-treatment of manure will reduce and remove the abundance and diversity of AMR genes and pathogenic bacteria of high priority from entering the food chain. Alleviating AMR elements from entering the food chain will reduce the transfer and uptake of mobile AMR genes and pathogens by human and animal bacteria. This project will focus on chicken and pig manure as both have been demonstrated to carry a wide variety and abundance of mobile AMR genes of clinical relevance. Our intervention is to pre-treat the manure in order to reduce or remove the burden of AMR in the manure prior to reuse as fertiliser. The microbiomes of chicken and pig manure differ, but the AMR genes and mobile elements overlap. Our study will investigate if the same pre- treatments will reduce or remove AMR prior to application and if these reductions or removal are maintained on the food plants or grass, and in the soil. Reducing or removing the threat of AMR at the start of the food chain will reduce the potential for selection and transfer of such AMR genes and pathogens further along the food chain. By stopping or reducing the continuous transfer of AMR genes and mobile elements along the food chain we will reduce the burden of AMR in pathogenic bacteria."
Building a Clinical Prediction Rule to Detect Respiratory Morbidity in Young Children and a Population Monitoring Rule to Measure Respiratory Health Services Use and Health Outcomes.,"['To, Teresa']","['Abdullah, Kawsari', 'Gershon, Andrea S', 'Lou, Wen-Yi W', 'Subbarao, Padmaja']","['Asthma', 'Case Validation', 'Disease Burden And Management', 'Early Detection', 'Health Services Utilization', 'Population Surveillance', 'Pre-School Children', 'Prediction Rule']",75000.0,363431,"In Canada, lung diseases cause more hospitalizations among preschoolers than any other disease and are expensive to look after. Even though many chronic lung diseases like asthma seem to begin at a young age, they usually are not diagnosed until a few years later. Because of this delay, lung diseases may go untreated in young children, and this could lead to worse health. We believe that the delay in diagnosis happens because lung tests in young children are not being used in the best way possible to predict which children will have lung diseases. Our team will link a birth cohort with population databases (health administrative data and environmental exposures data) to 1) develop tools to predict lung diseases in young children and 2) monitor the health of young children in Ontario who might have lung diseases. The birth cohort data come from the Canadian Healthy Infant Longitudinal Development (CHILD) Study-a study that has collected a lot of health, lifestyle and other information since the children were babies, including state-of-the-art lung tests from infancy to preschool age. The health administrative data are provided by the Institute for Clinical Evaluative Sciences (ICES), and they will show us how many times children in Ontario saw a doctor or went to the emergency room or hospital for breathing problems. Finally, the environmental exposures data from the Ministry of the Environment and Climate Change will show us how clean or dirty the air around children's houses is may affect their lung health. When our prediction and monitoring tools are used in the at-risk population of young children, it may be possible to predict lung diseases earlier in young children, and even to stop these diseases from worsening. Lung diseases are a significant health problem in Canada, leading to many emergency room visits and hospital stays. Therefore, catching these diseases early will improve children's lung health and lessen the burden on the Canadian health care system."
Vaping and asthma - A study on short and long-term health effects of vaping among Ontario youths and young adults with asthma identified in health administrative data and linked to the Canadian Community Health Survey,"['To, Teresa', 'Van Dam, Anne']","['MacKinnon, Jennifer', 'Borkhoff, Cornelia M', 'Chow, Chung-Wai', 'Moraes, Theo', 'Schwartz, Robert M', 'Vozoris, Nicholas']","['Asthma And Vaping', 'Health Services Use And Vaping', 'Short And Long-Term Health Effects', 'Vaping And Asthma-Related Comorbidities', 'Vaping And Physical Activity', 'Vaping And Physical, Social And Well-Bing', 'Vaping And Quality Of Life', 'Vaping In Youth And Young Adults']",100000.0,426071,"While it is generally thought that e-cigarette (EC) is a safer alternative to smoking, new research suggests that vaping may worsen pre-existing health conditions and have long-term health effects. Our proposed study will examine the long-term health risks and outcomes among young EC users, by comparing their health outcomes and health trajectories between EC users and non-users. We will conduct 3 studies using 2 Canadian surveys (Canadian Community Health Survey, CCHS: 2015-17 and Canadian Health Measures Survey, CHMS: 2016-2019) and 6 health administrative databases. The CCHS is a cross-sectional survey that collects information through questionnaires about health status, health determinants and behaviours. Linkage of the CCHS with health administrative data will allow us to measure the health outcomes of the study population for the period of 2010 to 2020. The CHMS is a cross-sectional survey that collects health information including physical activity, quality of life, heart rate and blood pressure, blood sugar and lipid profiles through questionnaires and direct measurements. The 3 studies to be conducted aim to answer the following research questions: 1) Do youth and young adults who are current EC users have increased risks of asthma and/or other allergic diseases? 2) Do youth and young adults who are current EC users and have asthma and/or other allergic diseases have more morbidity as measured by health services use for asthma, allergic disease, and related conditions? 3) Are youth and young adults who are EC users and have asthma and/or other allergic diseases less physically active, have poorer physical, mental and social well-being and quality of life? With a significant number of young Canadians reporting EC vaping, it is imperative to examine data on the health effects of vaping. Our population-based research findings will provide the data needed to guide policy and educate young people to make informed decisions to protect overall health."
"FActors of Mothers and Infants in Longitudinal Years (FAMILY) - A maternal and child birth cohort with babies identified from three Ontario existing pediatric cohorts and linked with health administrative data to create a birth cohort of infants and their siblings and mothers to study prenatal, postnatal and early childhood factors associated with maternal and child health and developmental outcomes","['To, Teresa', 'Borkhoff, Cornelia M']","['Guttman, Beverly', 'Van Dam, Anne', 'Anderson, Laura N', 'Birken, Catherine S', 'Dell, Sharon D', 'Janus, Magdalena', 'Maguire, Jonathon L', 'Moraes, Theo', 'Parkin, Patricia', 'Subbarao, Padmaja']","['Birth Cohort', 'Childhood Health Surveillace', 'Common Childhood Respiratory Conditions', 'Early Life Exposures', 'Early Screening And Detection', 'Maternal And Child Health', 'Risk Identification']",2338.0,421827,"Considering the high health burden of asthma in children, the high incidence of asthma exacerbation during pregnancy, and the significant economic burden of poorly controlled asthma, it is crucial to characterise asthma phenotypes and to examine the impacts of this condition on children and mothers. Our team will combine 3 Ontario pediatric cohorts to create a large longitudinal birth cohort, and will use linked population databases to efficiently identify children, their siblings, and mothers. The birth cohort data will come from three existing studies: the Canadian Healthy Infant Longitudinal Development (CHILD) Study, the Toronto Child Health Evaluation Questionnaire (T-CHEQ) Study, and the Applied Research Group for Kids (TARGet Kids!) Study. The children who participated in these studies, their siblings and their mothers will be identified in administrative data housed at ICES. The resulting FAMILY cohort will consist of a birth cohort of 28,000 children (cohort study participants and siblings) and a maternal cohort of the 12,000 mothers of these children. The FAMILY birth cohort will have demographic, clinical, biomarker and health services utilization data, as well as social and environmental data from the Canadian Urban Environmental Health Research Consortium (CANUE) and the Early Development Instrument (EDI). Using the longitudinal cohort, we will conduct 2 studies to: 1) use early life exposures from birth to 3 years (e.g. air pollution) to predict later childhood health and developmental outcomes (e.g. asthma incidence); and 2) determine whether maternal medical history (e.g. asthma attack during pregnancy) is associated with maternal delivery and infant birth outcomes (e.g. low birth weight). Our proposed study will build a large cohort of children and mothers and use big (administrative) and deep (survey and clinical) data to evaluate longitudinal health and developmental outcomes and investigate questions that were not possible to address before."
Supporting the Alberta Métis Settlements in advancing their Chronic Disease Prevention Model: Sharing results from administered ACE questionnaire in the Settlements,"['Toth, Ellen L']",['N/A'],"['Aboriginal', 'Chronic Disease Prevention', 'Community Infrastructure', 'Dissemination Meeting', 'Mental Health', 'Metis']",14000.0,246065,"Since 2003, the Mobile Diabetes Screening Initiative (MDSi) - sponsored under Alberta's Diabetes Strategy 2003-2013 - has collaborated with Alberta's Métis Settlements to deliver diabetes and chronic disease screening and prevention. Though MDSi's in-community service delivery mediates some barriers to care access (ex. distance), the 2009 project evaluation revealed community members desire MDSi take on a more holistic Aboriginal health approach.  
In response, MDSi engaged the Settlements and the Métis Settlements General Council (MSGC) in discussions to determine their vision for an Aboriginal health model for chronic disease prevention. Common themes expressed were: 1.) advancing prevention by addressing mental health risks underlying chronic disease; and 2.) need for community control over health and health resources. Discussions culminated in a MSGC resolution establishing a Métis Settlements Health Board. 
MDSi proposed the ACE (Adverse Childhood Events) questionnaire as a tool for data gathering and identifying community members at risk for mental health factors that may heighten risk for chronic disease. ACE data would provide the Settlements with information for setting evidence-based health policies and priorities, negotiating programming and resources, etc.
MDSi will tentatively pilot the ACE questionnaire in the Settlements from Nov 2011-Apr 2012. We are requesting funding from CIHR to support MDSi in hosting a dissemination meeting (tentative date: Apr 20, 2012) to report the ACE pilot results to the Settlements. Representatives from Alberta Health and Wellness and Alberta Health Services will also be invited to attend. The meeting will include a guest speaker presentation on long-term health effects of unresolved trauma. Objectives for this meeting are to advance a means for MDSi supporting the Settlements' vision for chronic disease prevention, and for MDSi incorporating a more holistic Aboriginal health approach to its scope and service delivery."
Sleep is not just a matter of night: Understanding the etiology of naps in 2.5- to 6-year-olds,"['Touchette, Evelyne', 'Pennestri, Marie-Hélène']","['Boivin, Michel', 'Côté, Sylvana', 'Montplaisir, Jacques Y', 'Reid, Graham J', 'Tremblay, Richard E']","['Developemental Milestones', 'Etiology', 'Longitudinal Study', 'Naps', 'Pediatric Sleep', 'Preschoolers']",73950.0,491330,"A recent meta-analysis has described children naps patterns and highlighted important recommendations to address: a) to inform napping cessation prevalence rates and b) to better understand the role of napping in meeting children's 24h sleep need. Sleep is not only a matter of nocturnal sleep and major changes are observed from birth up to school entry. Naps have been shown to be beneficial for learning and emotion regulation, which are key ingredients for academic success. Other studies have shown that napping can have a negative impact on sleep consolidation, by shortening the duration of sleep at night. Specialists from early childhood centers do not know when naps should be stopped and would like to be guided by clear recommendations according to age groups. The present project has two objectives: (1) To document daytime sleep in infants and young children at each age including 5 months, 1.5 and 2.5 years of age and (2) To identify factors associated with nap cessation in preschoolers aged 2.5 to 6 years old. The project will use the Quebec Longitudinal Study of Child Development I (1997/1998 -, n=2120) and II (2000 -, n= 4 700) two representative samples of children. Daytime sleep duration was assessed in children aged of 5 months of age to 6 years to mothers. This project will lead to clear recommendations to inform parents and specialists in childcare structures by establishing reference points of individual variations in patterns of naps to distinguish typically from atypical sleep development that may warrant investigation and/or intervention."
