Project title,Principal investigator(s),Co-investigator(s),Keywords,CIHR contribution,ApplID,Abstract/Summary
Long-term mental health outcomes of childhood hunger,"['Mcintyre, Lynn']","['Patten, Scott B']","['Children', 'Hunger', 'Longitudinal', 'Mental Health', 'Outcomes']",96182.0,229840,"Childhood hunger is an extreme manifestion of household food insecurity in Canada.  Since 1994 the National Longitudinal Survey of Children and Youth (NLSCY) has followed a group of children who have experienced hunger and these children are now entering young adulthood.  In a previous analysis of this survey, we found that childhood hunger experience has long-term health effects and that girls seem to be more adversely affected than boys. This study will examine the long-term mental health outcomes of child hunger as well as the impact of hunger on educational attainment, work-related outcomes, and social relationships such as marriage and parenthood. We will determine if, and in what ways, the child hunger experience is particularly toxic for these outcomes independent of, and as part of a spectrum of child adversity.  If child hunger is damaging to mental health and associated outcomes of Canadian children then the call to detect such children and remedy their circumstances will be ever more convincing."
Facilitating knowledge translation and exchange within school health systems,"['McIsaac, Jessie-Lee D']",['N/A'],"['Chronic Disease Prevention', 'Knowledge Translation', 'Population Health Interventions', 'School Health Promotion', 'Systems-Level Action']",135000.0,302393,"Schools are an essential setting to promote healthy behaviours and many jurisdictions have adopted policies to guide school health. Knowledge translation (KT) is an essential component of health research. KT strategies can provide insight on changes needed to enhance policy decisions and practice change through encouraging collaboration between researchers and decision makers. Many KT activities related to school health are underway in Canada but there are a number of barriers that prevent the uptake of evidence including the competing cultures and priorities across policy and research settings. The Province of Nova Scotia (NS) offers a timely and useful case study for investigating and augmenting KT related to school health. I will capitalize on a partnership with the NS Departments of Education and Health and Wellness and work across research and policy settings to respond to KT research objectives. First, I will assess system-level barriers to KT and identify opportunities to enhance collaboration by engaging in policy discussions and gather knowledge from policy makers on school system issues. Second, I will contextualize evidence into KT tools to inform policy decisions and practice change by identifying emergent priorities of the school system that align with existing research evidence. This knowledge will be used to inform the development of accessible publications and contextualize existing evidence into KT tools. Finally, I will evaluate the impact of KT tools on policy and practice to understand factors influencing knowledge use using various policy and practice change indicators. My KT fellowship will inform subsequent research projects and help to bridge the worlds of research, policy and practice and advance school strategies to promote healthy behaviours."
Disseminating and contextualizing the results of the provincial assessment of healthy eating and active living policies and programs in Nova Scotia,"['McIsaac, Jessie-Lee D', 'Kirk, Sara F']","['McIsaac, Michael F', 'Blanchard, Christopher M', 'Kolen, Angela M', 'Poirier, Michelle', 'Rossiter, Melissa D', 'Storey, Kate E', 'Veugelers, Paul J', 'Williams, Patricia L']","['Childhood Obesity', 'Healthy Eating And Active Living Strategies', 'Policy Evaluation', 'Population Health', 'Primary Prevention', 'School Health']",17850.0,245658,"Childhood obesity is a major public health concern in Canada and schools are acknowledged as an essential point of intervention to support obesity prevention. In 2003, the Children's Lifestyle and School Performance Study (CLASS) demonstrated the extent of issue in Nova Scotia by identifying that 32.9% of Grade 5 children were overweight and 9.9% were obese. Over the past eight years, the provincial government has invested resources in policies and programs to support healthier behaviours among Nova Scotia children. In 2009, CLASS II set out to explore the impact of changes at four different levels: (1) Provincial Government; (2) School Boards; (3) practices across schools; and (4) characteristics of children and families. Over the past two years, we have conducted an inventory of policies and programs and successfully completed data collection in schools across the province. Over the next two years, we will focus on qualitative research, as well as disseminating and contextualizing the results.
To inform policy, practice and further academic inquiry, we will share the preliminary research findings in conjunction with two conferences in Halifax, Nova Scotia. The first event will target key Nova Scotia stakeholders, including representatives from our Provincial Government, school boards, district health authorities, schools and communities. The purpose of the first meeting is to focus on knowledge dissemination through key research findings relevant to policy and practice. The second event will include stakeholders representing research, policy or practice outside of Nova Scotia. The purpose of the second meeting will be to contextualize the research findings within the larger body of knowledge on the topic of school-based obesity prevention, thereby focusing on knowledge synthesis. Collectively, the dissemination events will provide an opportunity to disseminate and synthesize the implications of the research with knowledge users in research, policy and practice."
Mobilizing knowledge-to-action for responsive feeding in early childhood: A theory-based intervention for the early years,"['McIsaac, Jessie-Lee D', 'Rossiter, Melissa D']","['Kirk, Sara F', 'Mann, Linda', 'Reid, Trudy', 'Turner, Joan C', 'Ward, Stéphanie']","['Behaviour Change', 'Early Childhood', 'Intervention', 'Knowledge Translation', 'Nutrition', 'Theory']",455176.0,419797,"Creating healthy food environments for young children can foster healthy behaviours that provide a foundation for lifelong health. Responsive feeding helps to encourage self-regulation in children by allowing children to communicates feelings of hunger and is followed by an appropriate response from the caregiver. Early childhood programs often follow healthy eating guidelines that encourage responsive feeding principles but there are barriers that prevent this from happening. Past interventions that support healthy eating do not typically think about behaviour change across multiple levels. Our study aims to use theory in the development, implementation and evaluation of an intervention to create responsive feeding environments in the early years in the Maritimes. We will use a pre-post intervention design to evaluate an intervention for responsive feeding in selected early childhood programs. Through partnership with our collaborators, we will identify ways that our intervention can inform integration and scaling-up within current early years systems to create more responsive feeding environments for young children."
Transitions to a new normal: The health of young children in the Maritimes during COVID-19,"['McIsaac, Jessie-Lee D', 'Turner, Joan C']","['Janus, Magdalena', 'Rossiter, Melissa D']","['Child Health', 'Early Childhood Development', 'Family Support', 'Mental Health', 'Nutrition', 'Physical Activity', 'Prevention']",80000.0,430237,"The efforts of parents/caregivers are essential to control the spread of COVID-19 and to ensure supportive environments for young children's health. The states of emergency established in the Maritime provinces from COVID-19 have led to closures to many services for families with young children, the enforcement of physical distancing principles and abrupt changes to employment conditions and income; therefore, shifting the balance of responsibility on families. The level of risk associated with disruption to family life impacting children's health and development is unknown as families manage unpredictable challenges while following government and health directives. This research aims to understand how Maritime families with young children (0 to 8 years), are being impacted and manage family life during the COVID-19 global pandemic. 

Baseline data on family adjustment already collected provides a foundation for this proposed study that will explore adaptation to family life as the conditions of COVID-19 change to reflect unique timelines of the spread and management of the disease across three provinces. Followed by an initial survey of more than 2200 respondents, the second phase will include a repeat survey and opportunity for families to participate in telephone interviews designed to better understand the adjustments and adaptations to family life over time. The need to study family life during this changing time is critical to provide well-timed, relevant information on the resources needed to support early childhood development and health and mitigate the potential impacts now and into the future. Policy interventions targeting the needs of young families are necessary to ensure success of public health measures to prevent and manage COVID-19. Ongoing engagement with decision makers will advance the dissemination of the results and development of resources and supports for families with young children."
Leveraging family voice and social media to build protective factors in early social and emotional health,"['McIsaac, Jessie-Lee D']","['Moniz, Tracy', 'Rossiter, Melissa D']","['Child Development', 'Mental Health', 'Parenting', 'Social And Emotional Health', 'Social Media']",9997.0,468164,"Parents play a key role in a child's early social and emotional health, which is an important foundation for long-term health and well-being. Many parents with young children access and prefer online support and resources, especially through social media.  However, there is a lack of evidence-based resources focused on early social and emotional health that are inclusive to diverse families, especially in the Canadian context. Through a planning and dissemination grant, we will co-design a social media strategy with a diverse family advisory committee with representatives from across Atlantic Canada to reflect experiences, across location, gender and parenting roles/structures, cultural/ethnic/language backgrounds, and accessibility considerations. The co-designed social media strategy will increase access to evidence-based information that meets the identified needs of diverse families related to early social and emotional health. We also seek to identify future research questions and priorities for families to support early social and emotional health. After multiple informative and collaborative meetings with the family advisory committee, we will bring families, policymakers, and practitioners together for a virtual symposium to discuss future priorities and possibilities to help build families' capacity to support their children's social and emotional health and long-term well-being."
Activating stories of success to enable scale-up of responsive feeding in early learning and child care environments,"['McIsaac, Jessie-Lee D', 'Rossiter, Melissa D']","['Mann, Linda', 'Ward, Stéphanie', 'Whitfield, Kyly C']","['Behaviour Change', 'Child Care', 'Coaching', 'Early Childhood', 'Nutrition', 'Responsive Feeding']",9998.0,480799,"Creating healthy food environments for young children can foster healthy behaviours that provide a foundation for lifelong health. Responsive feeding helps to encourage self-regulation in children by allowing children to communicate feelings of hunger and is followed by an appropriate response from the caregiver. Early learning and children care (ELCC) programs often follow healthy eating guidelines that encourage responsive feeding principles but there are barriers that prevent this from happening. CELEBRATE Feeding (Coaching in Early Learning Environments to Build a Responsive Approach to Eating and Feeding) is a CIHR-funded project using behaviour change theory to strengthen the feeding environment in child care environments. Dietitians are coaching educators at 8 child care centres in the Maritime provinces using behaviour change theory to inform intervention strategies. Early indicators suggest that this support is beneficial, but the specific intervention components that are feasible and important for scale-up need to be explored. 

Collaborators from research, early childhood, and public health, along with representatives from each participating ELCC program will be invited to join a one-day scale-up event hosted simultaneously in Charlottetown and Halifax. ELCC program representatives will be asked to submit pedagogical documentation material that represents their project's successes for the event. Following introductions and context-setting, ELCC program representatives will share their stories highlighting their key accomplishments while other participants will listen with intention. Smaller groups will be formed based on considerations for scale-up, reflecting on commonalities and unique aspects of the ELCC programs. These reflections will then be shared with the whole group through an afternoon session focused on identifying critical next steps to scale-up responsive feeding practices in ELCC programs."
Shape the Path: Targeting the health and mobility of older men through key community partnerships,"['Mckay, Heather A', 'Herman, Matthew S', 'Sims-Gould, Joanie']","['Miran-Khan, Karim', 'Robinovitch, Stephen N']","['Built And Social Environment', 'Community-Based', 'Home Care', 'Interventions', 'Knowledge Translation And Exchange', 'Mobility', 'Older Men', 'Residential Care', 'Stakeholder Engagement']",10000.0,307861,"The World Health Organization tells us that ""mobility...is the best guarantee of retaining independence and being able to cope."" We broadly refer to mobility, as the physical capacity of individuals to move themselves. Mobility is key to one's health and it is embedded into the activities we perform every day. Limited mobility is a significant risk factor for further physical disability, brain health impairments, and is associated with an increased risk of early death. Therefore, maintaining mobility is fundamental to healthy aging and to retaining one's independence for as long as possible. This is particularly true for men who are at high risk for diseases often born of inactivity (i.e., cardiovascular disease, diabetes).  ""Shape the Path: Targeting the health and mobility of older men through key community partnerships"" is a program of research that aims to answer three questions related to men's mobility:  What supports or stands in the way of men's mobility in three distinct settings (community, home, residential care)? What factors influence men's mobility and health across these settings? What factors influence government and municipal decision makers to implement best practices related to men's mobility and health? Our research team from across disciplines and community partners from across sectors are committed to use novel approaches to answer these questions. We will also call upon our vast network of partners to move our research findings into action to make a difference to the health of men in Canada and beyond."
Walk the Talk: Transforming the Built Environment to Enhance Mobility in Seniors,"['Mckay, Heather A', 'Bryan, Stirling', 'Frank, Lawrence']","['Ashe, Maureen C', 'Scott, Vicky J']","['Built Environment', 'Mobility In Aging', 'Urban Planning']",10000.0,196876,"Mobility is essential for physical and emotional well-being, and thus, quality of life. A crucial element of mobility in aging is community design the built environment. The Institute of Aging's strategic focus on Mobility in Aging specifically mentions 'community design' and underscores the potential for it to 'profoundly influence the psychological, social and physical health of older adults'. 

Despite its importance, there has been little Canadian health research connecting the built environment and Mobility in Aging.  Our Emerging Team will deliver various research products including systematic and realist reviews, reports customized to stakeholders, policy rounds, manuscripts and joint grant applications. To do this we will engage diverse stakeholders.  

We will address our goals via 3 Research Themes and 8 'Key Activities'. The research themes relate to the disciplines that address (1) The Built Environment, (2) Mobility in Aging, and (3) Economic Cost and Quality of Life. 

Providing unifying activities across these Themes are 8 Key Activities. As a team, we will: (i) review the formal and informal evidence base for the field, (ii) engage appropriate stakeholders and their representatives at all levels from federal government to the community, (iii) refine research methods to advance the field as well as applied methods that can be used in the applied setting, (iv) intervene to improve mobility in by influencing individuals and policy makers, (v) partner nationally (engagement, above) and internationally to harness the wisdom of the world and to facilitate future dissemination of our research, (vi) embrace knowledge translation and exchange principles from the outset of the study, (vii) apply and advance the 'science of team science' to ensure that investigators become a high-functioning team and (viii) mentor trainees and junior faculty so that they can maximize their potential and contribute substantially to improving seniors' heal"
Walk the Talk: Transforming the Built Environment to Enhance Mobility in Seniors,"['Mckay, Heather A', 'Bryan, Stirling', 'Frank, Lawrence']","['Ashe, Maureen C', 'Clarke, Philippa J', 'Mitton, Craig R', 'Paez, Antonio', 'Rhodes, Ryan E', 'Scott, Vicky J', 'Sims-Gould, Joanie']","['Built Environment', 'Economic Health', 'Health Policy', 'Mobility In Aging', 'Physical Activity', 'Psycho-Social Health', 'Sedentary Behaviour', 'Self Efficacy', 'Social Determinants Of Health', 'Social Isolation/Exclusion']",1368250.0,208944,"We aim to promote and enable mobility of older Canadians. We define mobility as the physical capacity of humans to walk or move themselves within their communities.  Limited mobility predicts death in older adults and is a consistent risk factor for disability, social exclusion and poor quality of life. There is an increasing body of evidence linking the Built Environment (BE) (individual elements of how towns and cities are designed and the services and amenities they provide) with specific health problems in adults, but very few studies address these questions in seniors. Therefore, we propose research that evaluates how the BE is associated with mobility, social exclusion and quality of life in older adults. We have engaged key stakeholders  and continue to partner in an alliance to execute our research and implement and disseminate discoveries, tools and products. This proposal consists of 3 Research Themes. In Theme A, we gather and synthesize the existing knowledge related to our area of focus. In Theme B, we refine and create new tools to evaluate the 'walkability' (pedestrian-friendliness) and 'accessibility' (access to service and amenities) of different neighbourhoods in which older adults live. In Theme C, we evaluate the influence of the built environment on older adults' mobility and quality of life. In addition to these Research Themes, we have a 'key cross-cutting element' relating to knowledge translation and exchange. This refers to generating built environment research outcomes that have impact through creating new products, influencing policy, and effectively promoting mobility in aging."
