Project title,Principal investigator(s),Co-investigator(s),Keywords,CIHR contribution,ApplID,Abstract/Summary
Integrating Indigenous Ways of Knowing into overdose responses for urban Indigenous people who use drugs,"['Lavalley, Jennifer']",['N/A'],"['Ethnographic Observation', 'Harm Reduction', 'Indigenous Research', 'Qualitative Methods']",105000.0,399549,"The overdose epidemic remains one of the most pressing public health issues in Canada. In British Columba (BC), Indigenous people who use drugs (IPWUD) have been disproportionally affected by the overdose crisis. Further, it has become clear that overdose epidemic patterns are different among IPWUD. For example, while non-Indigenous men are overdosing at greater rates than non-Indigenous women, Indigenous women remain disproportionately impacted by the overdose crisis, and are experiencing non-fatal overdoses and overdose deaths at rates similar to Indigenous men. Diverse models of overdose-focused interventions are now being implemented in jurisdictions such as Vancouver's Downtown Eastside neighbourhood. However, research to date has failed to examine the overdose risk environment surrounding IPWUD living off reserve in inner cities. Given the ongoing harms experienced by off-reserve IPWUD, research is urgently needed to improve overdose-focused harm reduction and substance use programs for this population. This study addresses this gap by using ethnographic approaches that center Indigenous knowledges and ways of knowing to examine how social-structural and environmental conditions shape access to and outcomes from overdose-focused harm reduction and substance use treatment programs among IPWUD. Findings from this study will contribute to the overdose response for IPWUD by identifying policy and programmatic changes to improve the public health benefits of overdose response services."
Qanuinngitsiarutiksait.2: Developing tools for the wellness and safety of Inuit,"['Lavoie, Josée G', 'Clark, Wayne', 'Dederick, Jeneen']","['Anang, Polina', 'Goulet, Sara D', 'Kenny, Kathleen S', 'McDonnell, Leah', 'Nickel, Nathan C']","['Inuit', 'Inuit Qaujimajatuqangit', 'Jurisdiction', 'Wellness']",1954576.0,443856,"Every year, thousands of Inuit from Nunavut (NU) come to Manitoba (MB) to access healthcare, education and other services. Some stay only to attend appointments, others longer to access services not offered in NU. Some do not return home for multiple reasons, including personal choice, constraints or because of on-going needs (e.g. long-term care). Our Qanuinngitsiarutiksait.1 (Q.1, tools for the wellness and safety of Inuit) study documented patterns of service utilization, including important mental health care needs that remain unmet. 
Objectives: Q.2 will focus on Inuit concepts of wellness, to answer: 
1. How did Inuit address issues of trauma and community/interpersonal tensions in the past? 
2. How was/is family/community cohesion maintained in Inuit culture? And 
3. How can this knowledge be used to create a continuum of healing programs reflecting Inuit values? 
We will undertake an Isumataiit Sivuliuqtii[Elders]-driven participatory study, involving aajiiqatigiingniq, an Inuit consensus methodology, which has also been used as the foundation of an Inuit wellness framework. This work will guide the development of a series of interventions implemented and continuously improved in the course of the study, including 1. the creation and trialing of an Inuit-centric healing program to be offered in Winnipeg; 2. An adapted version of the program tailored to the needs of Inuit women and girls recruited into and exiting human trafficking; and 3. An adapted version of the program tailored to the needs of Inuit families whose children are involved with Child and Family Services (CFS) system, to facilitate reunification when appropriate. This knowledge will be used to develop Inuit wellness programming to be implemented in different sites in Winnipeg. This proposal addresses priorities identified by the Isumataiit Sivuliuqtii, and will produce knowledge that will be directly applied to programming to improve Inuit wellness."
"The association between COVID-19-related attitudes, concerns and behaviours in relation to public health policies: A behavioural science approach to optimising policy strategies to improve health, economic and quality of life outcomes (the iCARE Study).","['Lavoie, Kim', 'Bacon, Simon L']","['Aaron, Shawn D', 'Barnett, Tracie A', 'Bélanger-Gravel, Ariane', 'Bondy, Susan J', 'Booij, Linda', 'Bourbeau, Jean', 'Campbell, Tavis S', 'Carlson, Linda E', 'Corace, Kimberly M', 'Drouin, Olivier', 'Fleet, Richard P', 'Garber, Gary E', 'Gauvin, Lise', 'Gordon, Jennifer L', 'Gosselin Boucher, Vincent', 'Gupta, Samir', 'Herba, Catherine M', 'Kakinami, Lisa', 'Pelaez, Sandra', 'Pilote, Louise', 'Poirier, Paul', 'Presseau, Justin', 'Puterman, Eli M', 'Rash, Josh A', 'Stewart, Sherry H', 'Stojanovic, Jovana', 'Vallis, Micheal T']","['Behavioural Science', 'Epidemiology', 'Health And Economic Impacts Of Disease', 'Mental Health And Coping', 'Motivation And Behavior Change', 'Policy Communication Strategies', 'Policy Planning And Decision-Making', 'Primary Prevention', 'Public Policy Adherence', 'Social Determinants Of Health']",638775.0,442925,"The key to halting the rapid spread of COVID-19 and 'flattening the curve' is public adherence to drastic, rapidly evolving behaviour-based prevention policies that are being implemented around the world. However, adherence depends on: public awareness of prevention policies; the extent to which the public perceives these policies as relevant and important; and their capability to enact them, which may be influenced by various demographic, family, occupational, health, and environmental variables. Further, as things start to re-open, people's willingness to adhere to new government decisions and recommendations (e.g., re: school openings, store openings) will also be critical for transitioning through the phases of the pandemic and improving the economy. Unfortunately, policies have varied greatly between provinces and countries, contributing to uncertainty about government policy motives and confusion about which policies to follow. Understanding people's concerns about COVID-19, their perceptions, beliefs, and attitudes about public health policies, and how they impact what people are (and are not) willing to do will be important for informing policy strategy and communication, to ensure the best health and economic outcomes. The iCARE Study will capture key data on people's awareness, attitudes, and behaviours as they relate to the COVID-19 policies, as well as, the impacts that COVID-19 is having on people's physical and mental health, financial situation, and quality of life. Data from approximately 150,000 people around the world will be linked to case data, policy data, and Google mobility data to understand what government policies are (and are not) influencing behaviour and outcomes, and in whom these policies are most or least effective. This will allow us to inform governments on the efficacy of policy measures on both people's behavior, and on key health and quality of life outcomes."
"Optimizing pandemic preparedness through ongoing assessment of public attitudes, intentions and behaviours in relation to COVID-19 prevention measures and their impacts: Increasing the capacity of the iCARE Study","['Lavoie, Kim', 'Bacon, Simon L']","['Baydoun, Mohamad', 'Bélanger-Gravel, Ariane', 'Campbell, Tavis S', 'Carlson, Linda E', 'Corace, Kimberly M', 'Deslauriers, Frédérique', 'Drouin, Olivier', 'Garber, Gary E', 'Gershon, Andrea S', 'Gosselin Boucher, Vincent', 'Gupta, Samir', 'Herba, Catherine M', 'Joyal-Desmarais, Keven', 'Liu, Joanne', 'Presseau, Justin', 'Rash, Josh A', 'Saint-Charles, Johanne', 'Spivock, Michael', 'Stojanovic, Jovana', 'Vallis, Micheal T']","['Access To Care And Long Covid', 'Covid-19 Preventive Behaviours', 'Economic Impacts', 'Health Behaviours/Substance Use', 'Health Disparities/Health Equity', 'Mental Health Impacts', 'Occupational Impacts', 'Policy Impacts', 'Resiliency And Future Preparedness', 'Youth Mental Health']",,468884,"Despite the fact that Canadians, and people around the world are 'done' with COVID-19, the World Health Organization, the US Center for Disease Control and Health Canada are all projecting that new variants of concern are highly likely to develop, and some may be more contagious and/or more severe than previous variants. It is therefore highly probable that behavioural prevention policies, including additional vaccine doses, mask wearing, and distancing, may need to be re-introduced. In fact, many governments (including Canada) are already preparing for how to manage the next wave of the pandemic.
This application is seeking to expand our capacity to supply the Canadian government and other partners with data and information to support ongoing pandemic response and preparedness. We are seeking additional funding to hire an additional data analyst and post-doctoral student to help us exploit the data we are collecting through our ongoing CIHR-funded iCARE study. iCARE's objective is to monitor population attitudes, intentions and behaviours in relation to engaging in COVID-19 prevention behaviours as measures become increasingly relaxed/lifted, and in relation to the potential re-introduction of preventive measures if/when this may become necessary. We are also assessing what factors are motivating people to re-engage in these behaviours, in general and among vulnerable groups (e.g., racial & ethnic minorities, women, those with mental/ physical health conditions). The existing infrastructure of the iCARE study will be leveraged so that we may continue to provide timely data to local and international governments to inform policy. We will collect data in Canada and a sample of key countries (i.e., Italy, Ireland, France, Australia, and Colombia) chosen based on their relative position to Canada on the pandemic curve, their diverse policy approaches and impacts, and their geographical and population diversity."
Study of the determinants of nurses' and physicians' intention to practice an act of euthanasia in a context of palliative care.,"['Lavoie, Mireille', 'Godin, Gaston']","['Blondeau, Danielle', 'Martineau, Isabelle', 'Roy, Louis']","['Applied Ethics', 'Euthanasia', 'Health Behaviours', 'Healthcare Practice', 'Intention', 'Palliative Care']",253446.0,215513,"Euthanasia is still a controversial topic in Canada to this day, highlighting the clash between fundamental values and impassioned debates. Some groups are exercising more and more pressure to legalize its practice. Closely linked to the context of palliative care, euthanasia generates support which is far from unanimous among the health professionals taking care of persons at the end of life. The practice is criticized because it represents an act aimed at deliberately causing death, something which runs counter to the philosophy of palliative care. When supported, it is because it helps to relieve ""inhuman"" suffering or to support the sick person's autonomy.
Thus, if euthanasia were to be legalized, what would that mean for the autonomy of the caregivers requested to apply it? Current researches still provides little explanation of their intentions when faced with carrying out an act of euthanasia. This is why our project aims at studying the determinants of intentions of nurses and physicians eventually invited to perform an act of euthanasia in palliative care. It could enlighten decision-makers as to its possible impact on the practices of health professionals and caregivers themselves. It includes four objectives: 1. Identify the determinants of nurses' intention to practice an act of euthanasia or not; 2. Identify the determinants of physicians' intention to practice an act of euthanasia or not; 3. Identify the significant differences between the determinants in the predictability model of nurses compared to that of physicians; and 4. Measure the impact of the presence or absence of the person's wishes on the intention of the nurses (4a) and of the physicians (4b). The project is based on Triandis's psychosocial theory (1980) which permits, through a questionnaire, to study the determinants of the healthcare professionals' intention (Godin et al., 2008a)."
Sharing Youth's Storiis of COVID: Youth voice as a basis of understanding the broader impacts of adaptations in youth programming with a focus on micro populations,"['Lawford, Heather', 'Mahdy, Sharif']","['Berardini, Yana', 'Halsall, Tanya G', 'Khanna, Nishad', 'Ramey, Heather L']","['Lgbtq2', 'Mental Health', 'Participatory Research', 'Quantitative Research', 'Racialized Youth', 'Rural Youth', 'Youth In Care', 'Youth Living With Disabilities', 'Youth Program Adaptations', 'Youth Voice']",149809.0,450654,"This study invites 1,000 Canadian youth who are LGBTQ2, rural, Indigenous, racialized, in-care, and living with disabilities to share how COVID-19 and the restrictions it caused affected them. The study is led by Heather Lawford (Bishop's University) and Heather Ramey  (Brock University) in collaboration with Tanya Halsall, Yana Berardini, Nishad Khanna and The Students Commission of Canada (SCC), a national charitable youth organization. SCC will support other organizations across Canada to engage in the research. Adults and youth from these organizations will form advisory groups to participate in every aspect of the process. Together, they will explore how unique populations of youth might have been affected in different or similar ways by program and service changes that schools, recreation centres, doctors, employers, families etc. made throughout the pandemic. How did these changes affect young people's mental and physical health, their growth and development, and their relationships?  Did some changes improve life for some youth? Were some changes more harmful than others?
Findings from this study will be shared with all the participating youth and organizations, as well as at SCC's annual national #CanadaWeWant events. During these, youth members of the study's advisory committees will present findings to decision-makers, policy-makers and youth. The advisory groups will also advise on other ways to share knowledge from this study with their communities.
Results will inform governments and organizations know what changes they made during COVID-19 that they should keep doing: for example, increased on-line services that improved access to mental health counsellors. It will also increase understanding of inequities and harms that some youth from these populations experienced, so that these can be addressed through post COVID-19 programming and services. Youth voice and participation integrated with research is critical if we are going to ""build back better."""
Scaling Up: A Multi-Pronged Approach for Improving Mother and Child Oral Health in Aboriginal Communities,"['Lawrence, Herenia P', 'Fredette, Gilbert']","['Chartier, Martin', 'Gordon, Janet N', 'Cidro, Jaime', 'Gillis, Doris E', 'Hoffman-Goetz, Laurie', 'Maar, Marion A', 'Randall-Simpson, Janis A', 'Schroth, Robert J', 'Smylie, Janet K']","['Aboriginal', 'Children', 'Dental Caries', 'Disease Prevention', 'Health Policy', 'Health Promotion', 'Knowledge Translation', 'Oral Health', 'Population Health Intervention', 'Prenatal Women']",5860.0,324285,"Early Childhood Caries (ECC) is a multifactorial disease that affects disproportionately higher numbers of Aboriginal children than non-Aboriginal children in Canada. While ECC is preventable, reducing the high rates of the disease among at-risk populations such as the Aboriginal Peoples in Canada remains a challenge, owing in part to the high levels of sugar that have entered the Aboriginal diet. This study focuses on the successful scale-up of an existing multi-pronged intervention for the prevention of ECC in Aboriginal communities. The intervention comprises four components: dental care offered to prenatal women, topical fluoride varnish applications to their infants/toddlers' teeth, oral health anticipatory guidance and motivational interviewing delivered by community-based researchers to mothers at critical early developmental stages in their children's lives. These interventions have been shown to be either effective or promising in preventing ECC and reducing caries in Aboriginal children. Researchers and community members, including knowledge users and knowledge holders will work together on how the interventions can be adapted to cultural, historical and contemporary Aboriginal contexts and the current health care delivery systems. The approach will center on knowledge sharing so that the interventions are fully synergized with local community ways of knowing. We plan to study the implementation of the adapted/enhanced interventions in at least four geographically diverse First Nations and Métis communities with differing levels of readiness/capacity for the intervention. The objective is to confirm that the set of interventions identified for scaling up are indeed effective and will remain effective (or become more effective) when appropriately adapted across these communities. The overarching goal is to bring about tangible improvements in young Aboriginal children's oral health and wellbeing thereby reducing oral health inequalities."
Development of an international research initiative in childhood asthma,"['Lawson, Joshua A']","['Adamko, Darryl J', 'Rennie, Donna Carole']","['Asthma And Asthma-Like Symptoms', 'Child Health', 'Diagnosing Patterns', 'Environmental Health', 'Epidemiology', 'Geographic Variation', 'Global Health', 'Population Health']",12500.0,308192,"Asthma is a global problem affecting approximately 10% of children worldwide and has huge individual, social, and health care burden. Since 2009, we have established an international collaboration with a common goal of investigating childhood asthma. What began as Canadian support for an Eastern European research and education program has developed into an international research program including Canada, Belarus, Ukraine, and Poland. In order to strengthen and advance this collaboration in an effort to improve the knowledge of childhood asthma, we feel that it is important to develop, through partnership, a research program that involves all the research centers including Canada and to investigate the potential expansion of this research network. The overall objective of this activity will be to summarize progress to date, identify future research directions, and consider expansion of the research network in conjunction with an international health symposium. This will be completed through two days of research meetings specific to the team. The meetings will precede the 7th International Symposium: ""Safety and Health in Agricultural and Rural Populations: Global Perspectives"" in Saskatoon in October 2014. Following the research meetings, team members will participate in the Symposium, including a session on global perspectives on childhood asthma where current asthma research and management will be discussed through dissemination of the project to date allowing feedback from scientists, clinicians, policy-makers, and community members attending the Symposium. These activities will strengthen current collaborations and help focus asthma programs in Canada and internationally. Long term implications of this program include improved quality of life of children, reduced health care resource use and explanations of geographic and temporal variations in asthma through more appropriate diagnosis and management as well as improved etiologic understanding."
Childhood asthma: An international research initiative,"['Lawson, Joshua A']","['Rennie, Donna Carole']","['Asthma And Asthma-Like Symptoms', 'Children', 'Diagnosing Patterns', 'Environmental Health', 'Epidemiology', 'Geographic Variation', 'International Health', 'Rural-Urban']",24148.0,257797,"Asthma is a global problem affecting approximately 10 percent of children worldwide and has huge individual, social, and health care burden. Over the past three years, we have established an international collaboration with a common goal of investigating childhood asthma. In order to strengthen and advance this collaboration in an effort to improve the knowledge of childhood asthma, we feel that it is important to develop, through partnership, a research program that involves all the research centers including a research component in Canada. The first step would be to focus directions of research and develop a fundable research proposal. The purpose of the planning activities outlined in this proposal is to strengthen and advance an international collaboration between researchers in Canada, Belarus, Ukraine, and Poland with the common goal of investigating asthma prevalence and its determinants. The proposed activities will include research meetings and a workshop to be conducted in September 2012 with researchers from each of the participating countries. The overall objectives will be to assist in the analysis and dissemination of study results from the ""The Belarus, Ukraine, Poland Asthma Study (BUPAS)"" and to plan a future research agenda in collaboration with the Canadian and BUPAS centers as a first step to submitting an operating grant to fund joint research projects, linking these centers. The research meetings will help us identify the emerging issues and priorities in childhood asthma resulting from the BUPAS project. Canadian experiences and research related to asthma will help direct this process as the collaborators discuss gaps in asthma etiology and management. This will be completed as we plan a research agenda for future asthma research carried out jointly by the four centers. These activities will strengthen current collaborations and help focus asthma programs in Canada and internationally."
The prevalence and severity of asthma among children in a north-central Saskatchewan region,"['Lawson, Joshua A']",['N/A'],"['Aboriginal', 'Asthma', 'Epidemiology', 'Lung Function', 'Obesity And Health Behaviours', 'Pediatric', 'Population-Based', 'Rural', 'Skin Prick Testing']",150000.0,213843,"The purpose of this study is to investigate the prevalence and severity of asthma among children in a north-central Saskatchewan region. The indoor environment, including tobacco smoke and home mold, has been suspected to play a role in asthma development but the contribution of obesity and health behaviours has been studied less frequently. Two understudied populations with regard to asthma are rural dwellers and Aboriginal persons. Obesity, health behaviours, and environmental exposures in these groups have been shown to differ from urban populations and may help explain recent geographic and temporal variation in asthma prevalence. Finally, it is becoming apparent that there are differences in the association between various exposures and asthma by sex. We aim to determine if there are differences in these outcomes by area of residence (urban vs. rural) and by Aboriginal ancestry. We will also investigate associations between determinants of asthma including obesity, health behaviours (eg. physical activity, diet and sedentary behaviours), and the indoor environment with asthma presence and severity. Finally, we will investigate potential effect modification by area of residence, Aboriginal ancestry, and sex with these determinants. We will use a cross-sectional study of Grades 1-6 children attending school in Prince Albert, Saskatchewan that includes a questionnaire phase and a clinical phase (lung function testing, anthropometric measures, and skin prick testing). Investigation of asthma prevalence and severity and their determinants among these populations will help establish the level of disease burden, which has not yet been studied in this region, identify groups at higher risk of asthma, and will aid in addressing gaps in asthma etiology. This knowledge can help focus initiatives to prevent asthma and reduce asthma morbidity, resulting in better quality of life for children with asthma and lower health care costs in Saskatchewan and, more broadly, Canada."
