Project title,Principal investigator(s),Co-investigator(s),Keywords,CIHR contribution,ApplID,Abstract/Summary
The lived experiences of older Aboriginal peoples aging with Human Immunodeficiency Virus,"['Ryan, Chaneesa R']",['N/A'],"['Aboriginal Peoples', 'Aging', 'Cbr', 'Culture', 'Hiv/Aids', 'Indigenous Methodologies', 'Indigenous Peoples', 'Older Adults', 'Sharing Circles', 'Successful Aging']",950.0,331872,"Aging with HIV and AIDS is a relatively new phenomenon, it is recognized as presenting a number of unique health challenges to those experiencing it as well as to the health care professionals treating it. Further research is needed to better understand Aboriginal people's lived experiences so that we can work towards effective, culturally appropriate strategies which can help facilitate positive aging amongst Aboriginal seniors and those already living with HIV and AIDS."
Positive Aging: Indigenous peoples aging with HIV/AIDS,"['Ryan, Chaneesa R']",['N/A'],"['Aging', 'Community-Based Research', 'Hiv/Aids', 'Ics Travel Awards', 'Indigenous Knowledge', 'Indigenous Methodologies', 'Indigenous Peoples', 'Sharing Circles', 'Strengths Based Approach', 'Successful Aging']",2800.0,345919,"As a result of advances in treatment over the past 30 years, the number of older people living with HIV is growing. This is of particular concern for Indigenous populations in Canada, given continuing over representation in HIV diagnoses. While there has been an increase in research on aging with HIV within the general population, little is known about the experiences of older positive Indigenous peoples.

Research was done in partnership with the Canadian Aboriginal AIDS Network (CAAN) and was conducted in July 2015 in Vancouver, British Columbia at CAAN's Wise Practices V conference. Participants were conference delegates, representing a sample of First Nations, Inuit and Métis people living with HIV. Participants ranged in age from 32 to 63 and had been positive for 5 to 29 years.

This project utilized a community-based participatory research design, directed by community and informed by Indigenous knowledge's and methodologies. Data was collected through four sharing circles (two with women, one with men and one with service providers) and four individual interviews (n=34).  Our preliminary findings reveal several dimensions of health which facilitate successful aging (SA) within this population: physical, emotional, spiritual, mental and social engagement. While the dimensions which an individual must embrace in order to achieve SA are intricately connected, the emphasis that one places on each dimension is subjectively determined. Participants recognized the interconnectedness of the dimensions and the importance of finding the right balance between each dimension in order to actualize SA.

The goal of this project was to identify facilitators and individual strategies which enable SA within this population, in order to develop culturally mediated responses. Ideally, this knowledge can be used to help structure community and primary health services to promote SA with HIV in ways which are congruent with Indigenous culturally-defined notions of health."
"Establishing Research Priorities: An exploration of First Nations, Inuit and Metis women and gender diverse people's needs in Cannabis and Mental Health","['Ryan, Chaneesa R']","['Parisian, Dean', 'Ali, Abrar', 'Blake, Marisa', 'Cardinal, Claudette L', 'Gabel, Chelsea', 'Greene, Saara', 'Ion, Allyson', 'Meawasige, Amanda', 'Simmons, Marsha', 'Sjoblom, Jessica E']","['Cannabis', 'Gender Diverse People', 'Indigenous Health', 'Mental Health', 'Women']",,441587,"With the legalization of cannabis in Canada, there is an urgent need for information about its effect on the Indigenous population. The impact of cannabis on the mental health of Indigenous people in Canada is unknown. Currently, research on mental health and Indigenous people emphasizes the risk of suicide and opioid drug use, with little information regarding cannabis and its effects on mental health. To date, urban and off-reserve First Nations and Metis populations are dramatically underrepresented in research. Further, ways of evaluating mental health in the current Canadian health system differ from traditional Indigenous knowledge of assessing wellness. Applying a colonial lens to Indigenous communities and individuals' health status further marginalizes and stigmatizes the unique challenges experienced by First Nations, Inuit, and Metis people. Therefore, this research project will build on the work done by other Indigenous organizations' mental wellness assessments and further the evidence of the importance of cultural safety in promoting mental health. This project will help fill these gaps by establishing a network of multi-disciplinary experts that work closely with Indigenous people regarding mental health and cannabis. The online platform created will serve as a space where partners can come up with unified goals and research priorities around mental health, cannabis and indigenous women and gender diverse people. This project will identify research priorities to inform the development of larger research projects and create resources to fill some of the identified gaps. The research agenda on cannabis and mental health within the Indigenous population must be community-led and community-driven. By incorporating First Nations, Inuit, and Metis narratives and experiences into the evaluation of mental health and cannabis use, through Indigenous and decolonized methodologies, this project will be an important development for driving future research."
"Somatic and Psychological Symptom Focus in Asian-Canadians: The Role of Cultural and Individual Differences in the Psychopathology, Assessment, and Treatment of Depression","['Ryder, Andrew G']",['N/A'],"['Alexithymia', 'Culture', 'Depression', 'East Asian', 'Quantitative', 'Somatization']",300000.0,171677,"East Asians in Canada are often stereotyped as a model minority, with few psychosocial difficulties. The reality is that mental health problems in this population are underestimated and often treated inadequately. This problem has serious implications, both for the health of East Asian Canadians and also for the social and economic well-being of the country.

Recent research in East Asia and Canada has demonstrated that Euro-Canadians are more likely to present psychological symptoms such as depressed mood, whereas East Asians are more likely to present somatic symptoms such as fatigue. As a result, Western-trained clinicians in Canada are more likely to under-diagnose depression, with consequences for treatment and for the prospects of recovery. What is not clear, at present, is why these cultural differences are observed.

This project aspires to go beyond simple descriptions of cultural variation in an effort to unpack the underlying reasons for these different symptom emphases. In particular, these studies will examine the ways in which cultural values, beliefs, and assumptions shape one's focus of thinking - either internally, on one's on thoughts and feelings or externally, on other people and on social groups. Focus of thinking, in turn, is thought to influence the symptoms that depressed individuals focus on and find most distressing.

Understanding the reasons why East Asians and Euro-Canadians tend to emphasize different symptoms while depressed will not only improve the ability of Canadian clinicians to conduct more accurate assessments of depression in East Asians, but will also help us to develop culturally-sensitive therapies. The result will be quicker and more effective intervention, reducing the burden of depression on the patient, the family, and Canadian society as a whole."
The impact on female sexuality from emotional abuse and emotional-sexual abuse: A substudy of the Healing Journey Project.,"['Safinuk, Danaka R']",['N/A'],"['Emotional Abuse', 'Female Sexuality', 'Grounded Theory', 'Ics Travel Award', 'Intimate Partner Violence', 'Psychosocial Consequences Of Abuse', 'Qualitative Methods', 'Sexual Abuse', 'Women']",1731.0,263318,"ICS Travel Awards
Sexuality is a broad term that is used to include biological sex, sexual acts, sexual feelings, gender roles, and attitudes towards sex (Jackson & Scott, 1996). Sexuality is a dynamic construct that can be influenced by many factors, including experiences of intimate partner violence (IPV). IPV is one factor that can affect women's sexuality (Burgess, 1983; Faravelli et al., 2004). The focus of this qualitative study is to understand how IPV impacts women's sexuality in a sample of women who have experienced IPV. A review of the literature describes the many existing barriers that make it difficult for women to develop a positive sexuality, and discusses what role IPV plays in this development (Cobia et al., 2008; Faravelli et al., 2004; Meston et al., 2006). This research project examined IPV survivors' experiences of their sexuality by analyzing 31 qualitative interviews using grounded theory methods (Strauss & Corbin, 1998). The focus of this presentation will be on the effects of emotional abuse and e3motional-sexual abuse on sexuality for these 31 participants. The findings suggest that emotional abuse may be particularly damaging to sexuality. Resiliency factors have been found and will be discussed. These findings provide insight into female sexuality and IPV, specifically how emotional IPV impacts sexuality."
The risk of divorce for parents of children with autistic spectrum disorder: A scoping review on marital relationships,"['Saini, Michael A', 'Stoddart, Kevin P']","['Barrett, Deborah', 'Rampton, Glenn M', 'Muskat, Barbara L', 'Nicholas, David B', 'Zwaigenbaum, Lonnie']","['Autism Spectrum Disorder', 'Divorce', 'Evidence Of Outcomes', 'Marital Relationships']",47419.0,214161,"There is ongoing uncertainty about the relative impacts of marital relationships for parents of children with Autism Spectrum Disorders (ASDs) especially for those marital relationships that break down. To address this uncertainty with existing best evidence, this project will implement a scoping review of the literature reporting the risk and protective factors of marital relationships for parents of children and youth (<18 years) with ASDs. Although it has been sixty-five years since autism and Asperger Syndrome (AS) were recognized, the attention to the needs of families of affected children has been variable; we have made inconsistent progress in understanding the effect on families and on intervening most effectively. An ecological systems model of the family asserts that the strains experienced by one family member will resound in other parts of the system. For many years, we have recognized that having a child with a disability will affect parents, siblings and extended family members. All family members will experience their own processes of coping and grief, risk and resilience in response to emerging challenging events in the family system. If the family is the primary agent of socialization for the child, it is essential that we preserve and foster positive family functioning. Despite increased attention to the needs of children and youth with ASDs, families continue to independently navigate treatments and services, with many treatment approaches being home-based, parent-mediated and financial burdensome on the family. Increasingly, there is clinical observation that these marriages and families experience disproportionate levels of stress, and may be at heightened risk for divorce and separation."
Risk of urinary tract cancer from exposure to arsenic in drinking water.,"['Saint-Jacques, Nathalie']",['N/A'],"['Arsenic Contamination In Drinking Water', 'Cancer Risk', 'Geographic Information Sciences', 'Knowledge Translation', 'Population Health', 'Public Health', 'Risk Assessment', 'Spatial Statistical Modelling']",105000.0,229531,"Arsenic is found naturally in the environment and is known to cause cancer. Nova Scotia bedrock contains particularly large amounts of arsenic. Arsenic can enter surface and groundwater supplies and affect the health of people who rely on wells for their drinking water. In Nova Scotia, half of the population draw their drinking water from unregulated wells. In some areas of the province, the amount of arsenic in well water has been reported to be up to 100 times higher than the advisory limit set by Health Canada. However, the health risks associated with arsenic exposure in Canada are not known. Studies from elsewhere (e.g. Taiwan, Argentina, Chile, United States) show that high levels of arsenic in drinking water can cause cancers including those of the bladder and kidney. The occurrence of bladder and kidney cancer in Nova Scotia is amongst the highest in Canada. This research aims to measure the risk of developing bladder and kidney cancers as a result of drinking well water containing arsenic in Nova Scotia, Canada. It will also examine how other factors such as age, sex, body size, socio-economic status and lifestyle may influence the relationship between cancer risk and arsenic. To do this, data from the Provincial Cancer Registry and arsenic information from various government departments will be used. In addition, data on arsenic in the tap water and toenails of 5,000 people in Nova Scotia will be studied. This information will be used to show the relationship between the amount of arsenic in tap water and arsenic body burden, a necessary step to link arsenic exposure to cancer risk. The proposed research aims to improve the health of Nova Scotians and Canadians in general. It will support health and environmental policy; inform the public on the potential risks of well water supplies; and guide the development of a risk reduction strategy."
Longitudinal modeling of cognitive decline in a non-demented elderly population,"['Sajeev, Gautam']",['N/A'],"[""Alzheimer'S Disease"", 'Biomarkers', 'Biostatistics', 'Cognitive Decline', 'Cohort', 'Dementia', 'Epidemiology', 'Growth Mixture Modelling', 'Longitudinal', 'Public Health']",105000.0,257540,"Alzheimer disease (AD) and other dementias represent one of the most important public health challenges facing modern society. Presently, 36 million people worldwide live with dementia and this number is projected to reach 66 million by 2030, and 115 million by 2050. 

Cognitive decline is the primary symptom of clinical AD. However, the magnitude and rate of cognitive decline varies significantly between individuals. Little is known about what makes an individual follow a particular path of decline, or indeed the specific trajectories of these different paths. Statistical modeling of cognitive data obtained over time from groups of at-risk individuals is needed to identify these different paths. We propose using a new statistical methodology called growth mixture modeling, which can identify subgroups of individuals who follow similar paths, and are exploring several available longitudinal cohorts of at risk individuals that might serve as the discovery and replication datasets for this work. While cognitive decline is the defining feature of AD, researchers are increasingly using disease biomarkers and imaging data to study disease progression. There is similar variability in change over time in these measures, so this methodology will have application to those outcomes as well. 

We expect that identifying these paths will be useful in a number of important ways. It will help us to better characterize exactly who follows a particular path, and to identify risk factors associated with following a particular course of decline. Such knowledge could be of particular public health importance, given the failure of treatments at later stages of the disease. Additionally, we may be able to refine predictions of prognosis for individuals at earlier stages of the disease. Finally, it may also provide insights into the underlying causes of disease progression in AD."
Statistical Procedures to Assess Longitudinal Change in Domains of Health-Related Quality of Life,"['Sajobi, Tolulope T']",['N/A'],"['Discriminant Analysis', 'Health-Related Quality Of Life', 'Longitudinal Data', 'Variable Importance']",150000.0,177805,"Health-related quality of life (HRQoL) is an important measure of the well-being of a person or group and is increasingly recognized as a valid marker of service need and health outcomes. Given the increasing morbidity associated with chronic disease that is occurring globally, there is significant interest among clinicians and public health professionals to understand how HRQoL changes over the disease course, and investigate the ways in which disease and disability affect HRQoL. Unfortunately, the analysis and interpretation of HRQoL is not straightforward. HRQoL is a multidimensional construct that encompasses physical, social, functional, and mental health; not all of the domains are equally responsive to changes in the disease state or level of impairment. Moreover in longitudinal studies, problems of missing data, subject loss, and outliers can invalidate results obtained using conventional methods of analysis. This research will develop and investigate statistical procedures to analyze multidimensional, longitudinal HRQoL data. It will focus specifically on procedures that can be used to discriminate between individuals or groups with different disease characteristics or health outcomes over time on multiple HRQoL domains. These longitudinal discriminant analysis procedures will be studied using computer simulation techniques and real-life data from a population-based longitudinal cohort study of individuals with inflammatory bowel disease. The overall goal of the research is to find the most appropriate procedure(s) for analyzing HRQoL data, to benefit health researchers and applied statisticians. The knowledge gained from studies of HRQoL is important for planning treatments and interventions that will have a positive impact on an individual's or group's health."
Contemporary Theories and Methodologies of Gender and Sex for Sexual Health Research: A National Symposium and Online Training Module,"['Sakaluk, John K']","['Brotto, Lori Anne', 'Hamilton, Lisa D', 'Huber, Jonathan D', 'Lachowsky, Nathan J']","['Gender', 'Methodology', 'Sex', 'Sexual Health', 'Theory']",10000.0,391982,"The Canadian Sex Research Forum (CSRF) is Canada's leading scholarly organization dedicated to interdisciplinary research to improve the sexual health and well-being of all Canadians. Scholars recognize, however, that improving sexual health and well-being is a complicated goal that requires increasingly complex theories and methodologies. This complexity is especially clear in the study of gender and biological sex, and sexual health, as sexuality scholars recognize the need to move beyond oversimplified models that conflate complicated interactions between biological, social, and psychological forces. Canada possesses some of the strongest sexuality scholars in the world, including those with considerable expertise in the study of health-related processes alongside gender and sex.  Canada is therefore well poised to lead the global field in the study and dissemination of sex research that is attuned to sex and gender influences and interactions. The annual CSRF routinely and recurrently attracts the largest gathering of Canada's highly accomplished sexuality researchers and their trainees. CSRF therefore provides the perfect opportunity to hold a knowledge exchange event to increase the existing capacities of Canada's sexual health researchers and knowledge users to conduct and apply cutting-edge research with respect to gender and sex. Preceding the 2019 annual meeting of the CSRF, in Victoria BC, we propose to organize a one-day pre-conference on Contemporary Theories and Methodologies of Gender and Sex for Sexual Health Research, in which we will connect leading Canadian researchers to trainees and new investigators through a knowledge exchange event focused on building capacity among Canada's sexuality researchers, therapists, educators, health promoters, and medical professionals. The events from this day will be recorded and content will be used to develop an open-access online training module."
