Project title,Principal investigator(s),Co-investigator(s),Keywords,CIHR contribution,ApplID,Abstract/Summary
Pregnancy weight gain charts for Canadian women: developing a novel tool to establish optimal gestational weight gain for maternal and child health,"['Hutcheon, Jennifer A', 'Bodnar, Lisa']","['Platt, Robert W', 'Walker, Mark C', 'Woolcott, Christy G']","['Fetal Growth', 'Gestational Weight Gain', 'Maternal Obesity', 'Pregnancy', 'Reference Chart']",240308.0,303786,"Most Canadian women gain too much weight during pregnancy. This is a concern because women with high weight gain in pregnancy are less likely to return to their pre-pregnancy weight after delivery, more likely to become obese, and more likely have obese children. In this project, our goal is to develop reference charts to help monitor and assess pregnancy weight gain of Canadian women. The charts will be based on the weight gain patterns of women with healthy pregnancies delivering in smaller and larger centres in western (BC), central (Ontario), and eastern (Nova Scotia) Canada. We will then identify the ranges on the weight gain charts that are linked with the best pregnancy outcomes for mother and baby. This project will produce a novel tool for women and their care providers to support appropriate weight gain in pregnancy, and address multiple topics that are research priorities for the CIHR such as reproduction, maternal health, and obesity."
Fetal growth and risk of spontaneous preterm birth,"['Hutcheon, Jennifer A']",['N/A'],"['Fetal Growth', 'Perinatal Morbidity', 'Perinatal Mortality', 'Population Health', 'Preterm Birth']",165000.0,180890,"Infants born at preterm gestational ages have a higher chance of death or serious complications after birth. While poor fetal growth is known to increase the chance of preterm birth occurring because of physician intervention (i.e. a physician deciding to induce birth or perform a Caesarean section delivery because the fetus is small), it is not as well known if poor fetal growth will also increase the risk of a spontaneous preterm birth. The goal of this project is to better understand the relationship between fetal growth and risk of spontaneous preterm birth and associated clinical complications in newborn infants. Prenatal ultrasound estimates of fetal weight will be linked with electronic medical records of maternal characteristics and pregnancy outcomes. Fetal growth trajectories will then be matched with spontaneous preterm birth and clinical complication status in order to identify growth patterns associated with higher risk. This information will then be used to create a tool for physicians to better predict pregnancies at increased risk of spontaneous preterm delivery. This project will help increase our understanding of the reasons why some infants are born preterm, and will produce a new tool to screen for high risk pregnancies in prenatal care."
Implications for Health: Hunting and Gathering among Métis in British Columbia.,"['Hutchinson, Peter J']","['Bottorff, Joan L', 'Corbett, Jonathan', 'Evans, Michael J', 'Jones, Gareth R', 'Kurtz, Donna L', 'Sookraj, Dixon']","['Chronic Disease Prevention', 'Mental Health', 'Métis', 'Physical Health']",75202.0,205091,"It is well established that there is a disparity in health status and associated social determinants of health between Aboriginal people, including the Métis, and the general population of Canada. Participation in traditional activities, such as hunting and gathering, has been utilized to improve health status. The purpose of this study is to assess the health promoting effects of hunting and gathering amongst Métis in British Columbia.  To identify the health implications of hunting and gathering 3 phases of research will be implemented, first a case study will utilize focus group and individual interviews with Métis community members and stakeholders to assess the engagement in hunting and gathering, perceived and physical and social benefits.  Researchers will also participate with harvesters and utilize global positioning systems and other technologies to monitor the level of physical activity in harvesting activities. The second phase will utilize the case study data to develop a survey tool that will be administered to Métis hunters and gathers from across British Columbia. Once the qualitative data and quantitative data are collected and analyzed community discussions will begin in phase 3. The aim of these discussions is to develop guidelines to support the development of culturally appropriate approaches to support healthy living in Métis communities."
"Models for Primary Medical Care, Nursing Care and Personal Care in Long-Term Care Homes: Systematic Reviews to Inform Change in Canada","['Hutton, Brian E', 'Watt, Jennifer A']","['Garritty, Chantelle M', 'Lunny, Carole A', 'Shea, Beverley J', 'Straus, Sharon E', 'Welch, Vivian A', 'Wong, Eric K']","['Knowledge Synthesis', 'Long-Term Care', 'Nursing', 'Nursing Home', 'Older Adults', 'Primary Care', 'Seniors', 'Systematic Review']",110925.0,443936,"Older adults are a rapidly growing segment of the population and live longer and healthier lives than in previous generations. In 2014, adults aged 65+ years accounted for six million (15.6%) of Canada's population, and the government estimates that by 2030, this number will surpass 9.5 million (23%). The impact of COVID-19 in long-term care homes (LTCH) in Canada highlighted longstanding challenges in this sector. 

Recently, a Canadian policy briefing addressed these challenges in Canada's long-term care (LTC) sector, and made recommendations that changes be made to the healthcare workforce. Amongst the most vital issues to address are improvements for the provision of primary medical care for LTC residents, as well as for direct care provided by nurses and personal support workers. To do so, there is an urgent need for researchers to identify and review the currently available research in this area to support comparisons of different models of care and their impact on key measures such as quality of resident care, resident quality of life and hospital admissions.

To address this need, we will conduct two systematic reviews of currently available research to answer the following questions:
1. What are the effective models for primary medical care for residents of LTCHs to optimize their quality of care, quality of life and health outcomes?

2. What are the effective models for direct care (including nursing care and personal care) for residents of LTCHs to optimize their quality of care, quality of life and health outcomes?

We will use best practice methods to carry out the planned systematic reviews of the evidence with a multi-disciplinary research team having expertise in public health, geriatric medicine and epidemiology. We will partner with Canadian organizations in the LTC setting to disseminate our findings and to maximize their uptake toward optimizing long-term care homes for Canadians."
National study of environmental determinants of adolescent violence in Canada.,"['Huynh, Quynh N']",['N/A'],"['Adolescent Health', 'Adolescent Violence', 'Built Environment', 'Epidemiology', 'Geographic Information System']",17500.0,200209,"Rationale/Background: Youth violence is an important public health concern. Growing rates of youth violence suggest a need for greater understanding of their causes. Theory proposes that the health of youth populations results from both individual behaviours and environmental influences. The built environment is one possible influence that is worthy of study. It may affect violent behaviours in this age group.

Objective: To examine the effects of the physical surroundings on youth violence in Canada.

Methods: This study will be based on Canadian records of the Health Behaviour in School-aged Children (HBSC) Survey. In 2009/2010, the HBSC was administered in 500 schools to 20 000 students from grades 6-10. Measures of physical fighting and weapon carrying will be used to profile violent behaviours. Geographical Information Systems will be used to link this data to factors in the physical surroundings of students' schools and neighbourhoods.

Implications: This study is important as it will further understand youth violence in Canada and the role of physical surroundings on the health of youth. This will inform the prevention and intervention programs, and perhaps the next generation of violence control strategies."
Advancing the Health and Housing in Transition (HHiT) Study: An extended four-year follow-up of the health of homeless and vulnerably housed adults in three Canadian cities,"['Hwang, Stephen W', 'Aubry, Tim D', 'Farrell, Susan J', 'Palepu, Anita']","['Dunn, James R', 'Hoch, Jeffrey S', 'Hubley, Anita M', 'Hulchanski, J. D', 'Klodawsky, Fran', 'Nisenbaum, Rosane']","['Health Care Utilization', 'Health Services Research', 'Health Status', 'Homeless People', 'Longitudinal Cohort Study', 'Multi-Site Research', 'Population Health', 'Quality Of Life', 'Social Determinants Of Health', 'Vulnerably Housed People']",1111929.0,239780,"This prospective cohort study builds upon our ambitious ongoing research study entitled The Health and Housing in Transition (HHiT) study, which received a four-year CIHR Operating Grant in 2008. The HHiT study is a prospective cohort study that is tracking the health and housing status of a representative sample of approximately 1,200 homeless and vulnerably housed single adults in Vancouver, Toronto, and Ottawa over a two-year follow-up period. In this renewal grant application, we propose to extend the observation period of our study from two years, as allowed by the funding for our initial grant, to four years. This renewal will achieve the following scientific goals: (i) acquiring new knowledge on the course of homelessness and vulnerable housing over a four-year period; (ii) discovering the connections between housing transitions and health care utilization; and (iii) achieving a deeper understanding of the interactions between housing transitions and health status through qualitative interviews. An extension of the study will take advantage of a unique opportunity to understand the complex longitudinal relationships between housing and health in a well-established cohort of homeless and vulnerably housed single adults. Through detailed analyses of qualitative interviews and our robust longitudinal quantitative data, our study will help determine what types of integrated housing and support services are necessary to achieve housing stability and improved health outcomes for people experiencing homelessness and vulnerable housing. These findings will be invaluable for health and social policy decision makers in developing better evidence-based policies for housing and health."
The COVENANT Study: COVID-19 Cohort Study of People Experiencing Homelessness in Toronto,"['Hwang, Stephen W']","['Agarwal, Arnav', 'Baral, Stefan D', 'Chris, Allison E', 'de Villa, Eileen', 'Dhalla, Irfan', 'Gingras, Anne-Claude', 'Gommerman, Jennifer L', 'Jamal, Alainna J', 'Kiran, Tara', 'Lachaud, James', 'Lee, Robyn', 'McGeer, Allison J', 'Mejia-Lancheros, Cilia', 'Mishra, Sharmistha', 'Mubareka, Samira', 'Nisenbaum, Rosane', 'Ostrowski, Mario A']","['Epidemiology', 'Health Policy', 'Health Services', 'Homelessness', 'Infectious Disease Surveillance', 'Mathematical Modelling', 'Observational Cohort', 'Population Health', 'Sars-Cov-2 Infection', 'Socioeconomic Determinants Of Health']",,430460,"People experiencing homelessness are at high risk of COVID-19, which can spread rapidly in homeless shelters. The COVENANT study will obtain in-depth information on COVID-19 infections among people experiencing homelessness in Toronto. The study will follow a group of individuals who are homeless to identify new cases of COVID-19 over the next 12 months, identify factors that increase the risk of COVID-19, and build a model that accurately predicts the number of COVID-19 cases expected in the homeless population. Information from this study will be immediately useful to help guide public health strategies and housing interventions to prevent and control COVID-19 among people experiencing homelessness."
"Interventions research in homelessness, housing, and health","['Hwang, Stephen W']","['Aubry, Tim D', 'Dunn, James R', 'Fabreau, Gabriel', 'Gaetz, Stephen A', 'Heineck, Kira A', 'Isaranuwatchai, Wanrudee', 'Nisenbaum, Rosane', 'Palepu, Anita', 'Raine, Laural', 'Richter, Tim', 'Stergiopoulos, Vicky', 'Thulien, Naomi', 'Watson, Kathryn']","['Health Care Delivery Systems', 'Health Inequities', 'Health Policy', 'Homelessness', 'Integrated Knowledge Translation', 'Interventions Research', 'Population Health', 'Social Determinants Of Health']",3972033.0,389127,"Homelessness is a serious problem, with more than 235,000 Canadians experiencing homelessness each year. People who are homeless suffer from high rates of physical and mental illness, and they often need specialized services and supports to obtain stable housing and improve their life situation. This research program will study innovative interventions to help Canadians who are homeless to achieve better health and well-being, and ultimately to end homelessness itself.  

This research program has three main goals. The first goal is to improve the ability of housing and support programs known as ""Housing First"" to end homelessness and improve well-being for people who have been chronically homeless. The second goal is to develop a new program that will help homeless young people between the ages of 14-25 to get stable housing, move forward, and lay the foundation for success in their lives. The third goal is to develop an intervention that will help homeless people who have recently been in the hospital to connect to services, have a better recovery, and stay out of the hospital. 

This research program will improve the health and well-being of Canadians experiencing homelessness and enhance the ability of our health care and social service systems to meet their needs. In doing so, this program will help make Canada a healthier society for all."
Refugee integration and long-term health outcomes in Canada,"['Hynie, Michaela', 'McGrath, Susan', 'Mckenzie, Kwame J']","['Agic, Branka', 'Ahmad, Farah', 'Arya, Akshaya N', 'Bayoumi, Ahmed M', 'Clark-Kazak, Christina', 'Cleveland, Janet', 'Diaz, Marcela', 'Kuo, Ben C', 'Rummens, Joanna (Anneke) W', 'Shakya, Yogendra']","['Chronic Diseases', 'Community Based Research', 'Mental Health', 'Program Evaluation', 'Refugees', 'Social Determinants Of Health']",1353165.0,347269,"Canada provides protection to refugees from overseas through two different programs.  In one, the government selects and supports refugees for the first year of settlement: government assisted refugees (GARs).  In the other, support is provided by volunteer groups: private sponsored refugees (PSRs).  Private sponsorship is unique to Canada but is of increasing interest internationally. Yet, despite resettling a third of refugees as PSRs, there is little research comparing GAR and PSR effectiveness in supporting the integration of refugees into society.   

Resettled refugees have poorer health than host populations. Studies show that social integration affects wellness but we do not have much research examining how the experiences of settlement and integration contribute to the long-term health of refugees. Refugees face unique challenges prior to migration, including exposure to trauma, prolonged uncertainty, hazardous living conditions, and disrupted education trajectories. In the short-term, security, less hazardous living conditions, and access to health services result in improvements in resettled refugees' health. However, research with other immigrant groups in Canada shows that in the long term, health and well-being are affected by newcomers' sense of inclusion, respect and belonging in their new country. Thus, early improvements in refugee health may be followed by deterioration if social integration is not successful. 

This pan-Canadian study will compare how GAR and PSR resettlement programs support long-term social integration pathways for refugees and the impact of these pathways on physical and mental health. We will collect data from adult resettled refugees arriving between 2015 and 2017 in 3 of Canada's largest refugee resettlement provinces: British Columbia, Ontario and Quebec.  By understanding what leads to successful outcomes we can improve refugee settlement services and policies, and ultimately the health and well-being of refugees."
"The Drug Poisoning Crisis in Rural Canada: Unpacking the Scientific Evidence, Sharing Promising Practices, and Collaborating for the Future","['Hyshka, Elaine', 'Schulz, Petra']","['Dreilich, Tristan', 'Gravel-Ouellette, Antoinette', 'Koncan, Veda K', 'Savard, Tyla J', 'Duff, Elsie', 'Haines-Saah, Rebecca J', 'Mathias, Holly', 'Pijl, Em M']","['Community Engagement', 'Drug Poisoning', 'Families', 'Harm Reduction', 'Knowledge Mobilization', 'Rural Places', 'Substance Use']",6000.0,485630,"Since January 2016, over 32,000 Canadians have died from drug poisoning or what is commonly referred to as an overdose. Drug poisonings occur in communities of all sizes, however, to date most research, investment in services, and media coverage focuses on urban areas. Little is known about substance use and drug poisoning in rural Canada. Broadening public and academic knowledge about substance use in this context is an urgent public policy priority. This Café will present scientific evidence on the state of drug poisonings in rural Canada, and highlight the voices of rural Canadians who have been impacted by the drug poisoning crisis. The overall goal of the Café is to increase public understanding on the need to effectively address drug poisoning in rural communities and discuss the implications of current evidence for health system planning and future research. Information will be presented through a panel discussion, question and answer period, and small group discussions. The Café will be of interest to the public, including people who use drugs (PWUD), families, community-based organizations, clinicians, decision makers, knowledge keepers, elected officials and the general public."
Staying Connected: Implementation and Effectiveness Evaluation of an E-health Initiative,"['Ianni, Andrea']",['N/A'],"['Community Engagement', 'Community Mobilization', 'Culturally Informed Intervention', 'Diabetes Prevention', 'E-Health', 'Ics Travel Awards', 'Indigenous Health', 'Kahnawake Schools Diabetes Prevention Project', 'Support', 'Sustainable Programming']",1126.0,383154,"Years of socio-historical/colonial policy and assimilation have bolstered transgenerational stress in Indigenous populations living in Canada. This stress, and the suboptimal lifestyles in which it manifests, widens health disparities in these populations. As such, type 2 diabetes has a prevalence rate three to five times greater in Indigenous peoples in Canada. The Kahnawake Schools Diabetes Prevention project's (KDSPP) Community Mobilization Training (CMT) engages Indigenous community stakeholders to implement diabetes prevention strategies rooted in enhancing physical activity, healthy eating, and positive attitudes. Through the five-day CMT, the community representatives learn to tailor a prevention strategy to the context and culture of their local community.
My research is investigating the integration of an e-health component to compliment the CMT and provide trainees with ongoing engagement and support. E-health is described as the delivery or augmentation of health (promotion) services through use of information communication technologies. One key strategy planned is the used of webinars (virtual seminars), with topics based on community needs. Other strategies include social media platforms, web-meetings, and chatrooms. These strategies constitute a knowledge translation framework consistent with Indigenous knowledge and communication systems (i.e. storytelling).
Our experiences will contribute to the fields of e-health strategies and Indigenous health, providing what we learned from the process and evaluation of these strategies in an Indigenous community-based context. Most importantly, we will be improving support for Indigenous trainees and enhancing potential for program sustainability."
Utilization of Psychosocial Oncology Services by Oral Cancer Patients in Montreal Area According to Their Minority Language Profile,"['Idrissi Janati, Amal', 'Hovey, Richard B']","['Agnihotram, Ramanakumar', 'Bedos, Christophe P', 'Brown-Johnson, Anita M', 'Cailhol, Lionel', 'Emami, Elham', 'Gigliotti, Jordan', 'Gosselin, Nathalie', 'Makhoul, Nicholas', 'Martel, Marc Olivier', 'Sanders, Justin J']","['Heath Care Utilization', 'Linguistic Minority', 'Mental Heath', 'Oral Cancer', 'Patient-Centered Care', 'Psychosocial Distress']",100000.0,503976,"Among the challenges faced by cancer patients is the need for emotional, psychological and social support. Hospitals are starting to address these needs by providing special services. Questions remain, however, about how well such services meet the needs of patients, and what barriers can get in the way. In Quebec, language can be a barrier to accessing healthcare, especially among the minority of English speakers.

Our research focuses on the needs of oral cancer patients, who often face considerably difficulties in coping with the debilitating consequences of the disease, such as disfiguration, or difficulty eating in public. Using a series of three research projects, we will follow the progress of English- and French-speaking oral cancer survivors navigating recovery: from screening for referral to support services, to patients' distress, their perceptions of their needs, their understanding of what help is available, and what might make the system better. We will use data analysis of screening and referrals, as well as interviews with patients and their caregivers, to understand the situation holistically.

By the end of our research program, we aim to propose tailored solutions to address barriers to access for both language groups in Quebec."
Intersectionality and the social and structural determinants of health: a mixed methods study exploring the experiences of Black Canadians with type 2 diabetes,"['Iduye, Damilola']",['N/A'],"['Black Health', 'Social Determinants Of Health', 'Structural Determinants Of Health', 'Type 2 Diabetes']",150000.0,474445,"Type 2 diabetes (T2D) is one of the fastest-growing global health emergencies of the 21st century, with a disproportionately high prevalence rate in Black Canadian populations. In Canada, Black adults have more than six times the prevalence rate of T2D than their White counterparts. Evidence suggests that Black people experience social and health disparities embedded in larger historical, geographical, sociocultural, economic, and political contexts. Most importantly, racism and discrimination ingrained in socially constructed structures impacting Black people can result in poorer health outcomes. Despite the efforts to address the health and social inequities facing Black people, little is known about how broader social contexts shape Black Canadians' health in relation to T2D. Therefore, the proposed study will address this gap by exploring how broader social structures and systems intersect to shape the experiences of T2D in Black Canadian populations. A sample of 300 adults with T2D from Halifax and Toronto will be invited to participate in a survey. Then, up to 30 adults who completed the survey will be interviewed to better understand how broader social structures and systems intersect to shape the experience of Black Canadians with T2D and elicit recommendations for culturally appropriate T2D prevention and care. This study will inform the development of interventions and resources intended to address the social and structural factors that impact Black Canadians living with T2D. Specifically, the findings will provide insights into the development and implementation of equity-informed policies and interventions by healthcare providers and policy decision-makers that are aimed at combating the increasing burden of T2D in this population."
A Decision Support System to Assess the Health Impacts of Urban Agriculture Interventions,"['Idzerda, Leanne']",['N/A'],"['Knowledge Translation', 'Public Health']",1500.0,418310,"This research seeks to develop an information system that can help people putting in place urban agriculture interventions, such as community gardens, to make decisions about the potential health impacts of their gardens."
International Neuroethics Patent Initiative (INPI,"['Illes, Judy']",['N/A'],"['Neuroethics', 'Neuroscience', 'Patents']",224869.0,424720,"Patents aim to protect inventions and provide protection to inventors for their intellectual achievements. Past research from our teams has shown that, in the area of brain science, such protections can extend beyond methods or devices for which they are intended and permitted, and cover regions of brain tissue and even aspects behaviour that may be recorded or stimulated. Our goal here is to fully examine patents already granted in the field of neuroscience - drugs, software, technology - examine them for their legal viability, and explore perspectives from experts about their potential benefits and risks to individuals, patients and society. The outcome of this work will be both practical guidance for the future of patents in neuroscience, as well as evidence-based recommendations for boundaries that ought to be drawn."
"Remote Control: Building on capacity to implement community based research in rural, northern and remote communities in Manitoba","['Illsley, Shohan']","['Jalloh, Chelsea', 'Migliardi, Paula', 'Dawyduk, Brenda', 'Mignone, Javier J', 'Wylie, John L', 'Zeran, Vicki A']","['Capacity Building', 'Community-Based Research', 'Hiv/Aids', 'Mixed-Methods', 'Participatory Action Research', 'Rural And Remote Communities']",10000.0,308100,"Human Immunodeficiency Virus (HIV) in Manitoba presents a unique epidemiological profile. Incident HIV rates in Manitoba are consistently higher than national averages. Women and people who identify as Aboriginal are significantly over-represented in HIV cases. Heterosexual transmission continues to be the primary mode of transmission. Late presentation to care is also an alarming reality. Rural, northern, and remote communities in Manitoba face critical challenges related to HIV prevention, support, and care: isolation, lack of services, and significant HIV rates pose barriers to an effective HIV response. Of immediate importance are recent cluster outbreaks of HIV in three remote northern communities. 

The 595 Prevention Team is a Manitoba-wide organization that works with Peers, network members, policy makers, community leaders, and academics to make recommendations about the development, implementation, and evaluation of prevention initiatives focused on sexually transmitted and blood borne infections. Building on recent successes in Peer-led HIV CBR, the 595 seeks to expand HIV Prevention CBR to more diverse locations in Manitoba, where community members have expressed an interest in HIV CBR, and where priority at risk populations have been identified.

This planning grant is specifically requesting funding to host a two-day meeting with key stakeholders from three distinct rural, northern and remote areas of Manitoba. These stakeholders will meet in Winnipeg to network with each other, to engage in capacity building about CBR, to discuss how HIV affects their communities, and to develop the key components of what will become a collaborative CIHR operating grant proposal. Further, individuals who participate in this capacity building and planning meeting will return to their home communities to be CBR resources for others in their geographic regions, and further collaborate as a Rural, Northern and Remote HIV CBR Network."
What Goes Around: How Peers Use Their Social Networks to Share STBBI Education and Information.,"['Illsley, Shohan', 'Mignone, Javier J']","['Wylie, John L']","['Hcv', 'Hiv', 'Informal Communication', 'Peer Knowledge Exchange', 'Social Networks', 'Stbbi Prevention']",29080.0,252699,"The main purpose of this project is to facilitate and strengthen the relationship between the University of Manitoba, community organizations, and a specific sector of the population. We hope to build this relationship through the development of a comprehensive proposal and piloting the research project. Peer delivery of prevention information on sexually transmitted and blood borne infections (STBBIs) within and between drug using networks is considered best practice for engaging, educating, and treating this particular sector. Most research to date involves formal sources of information delivered by peers, which includes recruiting, training, and supporting peer leaders in delivering STBBI prevention education within their networks. Research exploring the informal delivery of information is limited and sparse. Researchers have found that friends, acquaintances, partners, club buddies, and dealers can all be sources of informal information. Further research is needed to understand the how, where, and why information is passed from peer to peer within social networks. The community based research project that we are proposing will explore the informal delivery of STBBI prevention education by peers and expand on the current body of research. Members of the 595 Peer Working Group (595PWG) (a network of community members providing direction to the organization) will be recruited to participate in the project through one or more interviews. A total of 30 face to face interviews will be conducted, including one time only or up to three times. This process will allow us to get a closer proximity to more immediate communication activities undertaken by the participants. Data will be analyzed in close collaboration between all members of the research team."
Aki Gimiinigonaa Mshkooziiwin (The Land Gives Us Strength): Culturally-grounded healing within the urban-Indigenous community during COVID-19,"['Indigenous Diabetes Health Circle, .', 'buchanan, maureen']","['Bayoumi, Imaan', 'Davison, Colleen', 'Purkey, Eva']","['Covid19', 'Indigenous Food Sovereignty', 'Indigenous Health', 'Knowledge Mobilization']",130997.0,462705,"Aki Gimiinigonaa Mshkooziiwin (The Land Gives Us Strength): Culturally-grounded healing within the urban-Indigenous community during COVID-19 is an urban Indigenous community-led knowledge mobilization project. The Cost of COVID study was a prior research collaboration that looked at social and emotional impacts of the COVID pandemic among urban Indigenous community members around Kingston, ON. Study findings emphasized that reclaiming food systems and moving toward Indigenous food sovereignty (IFS), land access and cultural revitalization will contribute to the overall wellness and sustainable health goals of the urban Indigenous community during COVID and support long-term recovery. The goal of the project is to share and action knowledge from the Cost of COVID study. We will do this by supporting IFS and building skills and awareness around cultural protocols, self-care and well-being. The key objectives are: 1) To develop, implement, and evaluate strengths-based, Indigenous community-led COVID -19 pandemic recovery solutions to increase IFS, food security, and community belonging using land- and language-based activities rooted in Indigenous languages and cultures, and 2) To improve mental health among the Indigenous community during COVID-19 pandemic recovery using culturally grounded, land-based activities. The knowledge mobilization program will include culturally grounded and socially supportive activities: 1) community foraging during forest walks; 2) growing medicines in community gardens and 3) working together to build Personal Bundles. The Indigenous Diabetes Health Circle (IDHC), Queen's University, and the Kingston Indigenous Languages Nest (KILN) have partnered to move the evidence from the Cost of Covid study into practice. They will work collaboratively, along with local urban Indigenous community members, to enhance programming to nurture health and well-being among urban Indigenous people in the current phase of the pandemic and into the future."
The Application of Syndemics Theory to HIV Vulnurability among Men who have Sex with Men in Toronto,"['Ing, Stanley']",['N/A'],"['Gay And Bisexual Men', 'Hiv/Aids', 'Men Who Have Sex With Men (Msm)', 'Quantitative Methods', 'Sexual Behaviour', 'Syndemics Theory']",17500.0,254383,"Although HIV prevention initiatives have contributed to the decline of HIV incidence rates, men who have sex with men (MSM) still bear a disproportionate disease burden of the HIV epidemic in Canada. Research examining risk factors for HIV transmission among MSM have identified multiple psychological and behavioural factors which increase the risk of MSM engaging in unprotected anal intercourse. Syndemics theory delineates a framework which examines the interplay of multiple co-occurring diseases or psychosocial health problems. Exploring the interplay of psychosocial risk factors for HIV transmission can help to improve upon current HIV prevention programming. Recent literature on syndemics theory, HIV, and MSM has described the relationship between psychosocial problems and HIV vulnerability and how intertwining psychosocial problems propagate HIV incidence and prevalence rates. The objective of the study is to assess the extent to which multiple psychosocial health problems have an additive effect on HIV vulnerability among MSM in Canada. Data will be collected via 400 MSM in Toronto. Findings from this project will better assist service providers, mental health clinicians and HIV prevention workers in reducing negative sexual health outcomes among MSM."
See the Future: Learn the Facts about Age-Related Macular Degeneration,"['Irrcher, Isabella', 'Campbell, Robert J', 'Sharma, Sanjay']",['N/A'],"['Age-Related Macular Degeneration', 'Photoreceptor Cell Death', 'Quality Of Life', 'Retina', 'Vision Loss']",3000.0,263590,"Age-related macular degeneration (AMD) is a degenerative eye disease that affects the part of the eye responsible for providing central vision.  The gradual loss of central vision, a hallmark of this disease, eventually makes it difficult for people affected with AMD to recognize faces, drive a car and read and write, among other important daily tasks.  AMD is the most common cause of vision loss in developed countries and affects an estimated 8 million people worldwide over the age of 65.  The annual incidence of AMD increases with age from less than 1% in people under the age of 60 years to greater than 5% in people over the age of 80.

There are two forms of AMD: dry and wet. The dry form is more common and affects approximately 90% of people with AMD.  Dry AMD has few symptoms in the early stage and currently vitamin supplementation with high doses of zinc and antioxidants is the only treatment available.  Annual comprehensive dilated eye exams to monitor disease progression are also strongly advised. 

The wet form is considered the advanced form of AMD.  Although less common, affecting 10% of people with AMD, it accounts for approximately 90% of patients with severe vision loss.  If this form of AMD is detected before severe vision loss occurs, it is poIf this form of AMD is detected before severe vision loss occurs, it is possible to slow down or stop the progression of wet AMD.  Treatments include laser therapy and the more common practice of intraocular injections of drugs that inhibit the proliferation of abnormal blood vessel growth (VEGF inhibitors).  The use of the VEGF inhibitors Lucentis (Ranibizumab) or Avastin (Bevacizumab) is now standard of care for the treatment of wet AMD.   

The main objective of this Café is to disseminate important information regarding AMD. Specifically, the Café will focus on its causes, underlying pathology, the risks factors associated with this disease as well as available treatments."
